1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	lowerCI	upperCI	meanCI
-0.5 to 0.5	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.286064329915835	0.423669003417498	0.354866666666667
-0.4 to 0.6	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.286064329915835	0.423669003417498	0.354866666666667
-0.3 to 0.7	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.0266666666666667	0.333333333333333	0.686666666666667	0.666666666666667	0.666666666666667	0.0333333333333333	0	0.02	0.346666666666667	0	0.666666666666667	0.38	0.0266666666666667	0	1	0.0333333333333333	0.673333333333333	0.333333333333333	0.666666666666667	1	0.0133333333333333	0.286064329915835	0.423669003417498	0.354866666666667
-0.2 to 0.8	0.05	0	0.03	0.02	0	0.5	0.07	0.04	0	1	0.05	1	0	1	1	0	0.04	0	0.53	0.5	0.5	0.05	0	0.03	0.02	0	0.5	0.07	0.04	0	1	0.05	1	0	1	1	0	0.04	0	0.53	0.5	0.5	0.05	0	0.03	0.02	0	0.5	0.07	0.04	0	1	0.05	1	0	1	1	0	0.04	0	0.53	0.5	0.5	0.05	0	0.03	0.02	0	0.5	0.07	0.04	0	1	0.05	1	0	1	1	0	0.04	0	0.53	0.5	0.5	0.05	0	0.03	0.02	0	0.5	0.07	0.04	0	1	0.05	1	0	1	1	0	0.222551754797033	0.379048245202967	0.3008
-0.1 to 0.9	0.08	0	0	0.02	0	1	0.12	0.08	0	1	0.1	1	0	1	1	0	0.08	0	1	0	1	0.08	0	0	0.02	0	1	0.12	0.08	0	1	0.1	1	0	1	1	0	0.08	0	1	0	1	0.08	0	0	0.02	0	1	0.12	0.08	0	1	0.1	1	0	1	1	0	0.08	0	1	0	1	0.08	0	0	0.02	0	1	0.12	0.08	0	1	0.1	1	0	1	1	0	0.08	0	1	0	1	0.08	0	0	0.02	0	1	0.12	0.08	0	1	0.1	1	0	1	1	0	0.262384281230365	0.444015718769635	0.3532
0 to 1	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.238580559921861	0.381619440078139	0.3101
0.1 to 1.1	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.238580559921861	0.381619440078139	0.3101
0.2 to 1.2	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.238580559921861	0.381619440078139	0.3101
0.3 to 1.3	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.04	0.03	0.52	0	0.5	0.54	0.07	0	0.51	0	1	0.06	0.06	0	0.51	0.05	0.5	0.03	1	1	0	0.238580559921861	0.381619440078139	0.3101
0.4 to 1.4	0.5	0.57	0.04	0.5	0	1	0.5	0.02	0.5	0.51	0.5	0	0.03	0.5	0.56	0.5	0	0.08	0.02	0.01	0	0.5	0.57	0.04	0.5	0	1	0.5	0.02	0.5	0.51	0.5	0	0.03	0.5	0.56	0.5	0	0.08	0.02	0.01	0	0.5	0.57	0.04	0.5	0	1	0.5	0.02	0.5	0.51	0.5	0	0.03	0.5	0.56	0.5	0	0.08	0.02	0.01	0	0.5	0.57	0.04	0.5	0	1	0.5	0.02	0.5	0.51	0.5	0	0.03	0.5	0.56	0.5	0	0.08	0.02	0.01	0	0.5	0.57	0.04	0.5	0	1	0.5	0.02	0.5	0.51	0.5	0	0.03	0.5	0.56	0.5	0.258427142599243	0.373372857400757	0.3159
