1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
-0.5 to 0.5	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667
-0.4 to 0.6	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667
-0.3 to 0.7	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667	0.973333333333333	0.82	0.573333333333333	0.613333333333333	0.646666666666667	0.973333333333333	1	0.98	0.86	1	0.526666666666667	0.726666666666667	0.973333333333333	1	0.146666666666667	0.98	0.426666666666667	0.726666666666667	0.593333333333333	0.34	0.986666666666667
-0.2 to 0.8	0.96	1	0.97	0.98	1	0.57	0.94	0.96	1	0.13	0.97	0.15	1	0.39	0.28	1	0.96	1	0.55	0.74	0.6	0.96	1	0.97	0.98	1	0.57	0.94	0.96	1	0.13	0.97	0.15	1	0.39	0.28	1	0.96	1	0.55	0.74	0.6	0.96	1	0.97	0.98	1	0.57	0.94	0.96	1	0.13	0.97	0.15	1	0.39	0.28	1	0.96	1	0.55	0.74	0.6	0.96	1	0.97	0.98	1	0.57	0.94	0.96	1	0.13	0.97	0.15	1	0.39	0.28	1	0.96	1	0.55	0.74	0.6	0.96	1	0.97	0.98	1	0.57	0.94	0.96	1	0.13	0.97	0.15	1	0.39	0.28	1
-0.1 to 0.9	0.94	1	1	0.98	1	0.14	0.9	0.92	1	0.14	0.94	0.18	1	0.24	0.2	1	0.92	1	0.16	1	0.2	0.94	1	1	0.98	1	0.14	0.9	0.92	1	0.14	0.94	0.18	1	0.24	0.2	1	0.92	1	0.16	1	0.2	0.94	1	1	0.98	1	0.14	0.9	0.92	1	0.14	0.94	0.18	1	0.24	0.2	1	0.92	1	0.16	1	0.2	0.94	1	1	0.98	1	0.14	0.9	0.92	1	0.14	0.94	0.18	1	0.24	0.2	1	0.92	1	0.16	1	0.2	0.94	1	1	0.98	1	0.14	0.9	0.92	1	0.14	0.94	0.18	1	0.24	0.2	1
0 to 1	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1
0.1 to 1.1	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1
0.2 to 1.2	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1
0.3 to 1.3	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1	0.96	0.99	0.56	1	0.6	0.66	0.94	1	0.71	1	0.26	0.95	0.94	1	0.56	0.97	0.59	0.98	0.19	0.16	1
0.4 to 1.4	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53	1	0.95	0.98	0.99	1	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53	1	0.95	0.98	0.99	1	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53	1	0.95	0.98	0.99	1	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53	1	0.95	0.98	0.99	1	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53
0.5 to 1.5	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53	1	0.95	0.98	0.99	1	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53	1	0.95	0.98	0.99	1	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53	1	0.95	0.98	0.99	1	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53	1	0.95	0.98	0.99	1	0.69	0.49	0.96	0.72	1	0.4	0.62	0.98	0.56	0.59	0.58	1	0.98	0.57	0.5	0.53
0.6 to 1.6	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36	0.686666666666667	0.926666666666667	0.96	0.993333333333333	1	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36	0.686666666666667	0.926666666666667	0.96	0.993333333333333	1	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36	0.686666666666667	0.926666666666667	0.96	0.993333333333333	1	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36	0.686666666666667	0.926666666666667	0.96	0.993333333333333	1	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36
0.7 to 1.7	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36	0.686666666666667	0.926666666666667	0.96	0.993333333333333	1	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36	0.686666666666667	0.926666666666667	0.96	0.993333333333333	1	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36	0.686666666666667	0.926666666666667	0.96	0.993333333333333	1	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36	0.686666666666667	0.926666666666667	0.96	0.993333333333333	1	0.48	0.66	0.646666666666667	0.813333333333333	0.966666666666667	0.6	0.746666666666667	0.986666666666667	0.706666666666667	0.7	0.72	0.933333333333333	0.66	0.713333333333333	0.34	0.36
0.8 to 1.8	0.648	0.788	0.66	0.888	0.952	0.62	0.836	0.936	0.824	0.612	0.832	0.948	0.796	0.828	0.564	0.524	0.772	0.756	0.852	0.996	0.864	0.648	0.788	0.66	0.888	0.952	0.62	0.836	0.936	0.824	0.612	0.832	0.948	0.796	0.828	0.564	0.524	0.772	0.756	0.852	0.996	0.864	0.648	0.788	0.66	0.888	0.952	0.62	0.836	0.936	0.824	0.612	0.832	0.948	0.796	0.828	0.564	0.524	0.772	0.756	0.852	0.996	0.864	0.648	0.788	0.66	0.888	0.952	0.62	0.836	0.936	0.824	0.612	0.832	0.948	0.796	0.828	0.564	0.524	0.772	0.756	0.852	0.996	0.864	0.648	0.788	0.66	0.888	0.952	0.62	0.836	0.936	0.824	0.612	0.832	0.948	0.796	0.828	0.564	0.524
0.9 to 1.9	0.663333333333333	0.67	0.69	0.906666666666667	0.96	0.676666666666667	0.863333333333333	0.946666666666667	0.69	0.513333333333333	0.86	0.943333333333333	0.666666666666667	0.856666666666667	0.613333333333333	0.593333333333333	0.796666666666667	0.786666666666667	0.876666666666667	0.83	0.726666666666667	0.663333333333333	0.67	0.69	0.906666666666667	0.96	0.676666666666667	0.863333333333333	0.946666666666667	0.69	0.513333333333333	0.86	0.943333333333333	0.666666666666667	0.856666666666667	0.613333333333333	0.593333333333333	0.796666666666667	0.786666666666667	0.876666666666667	0.83	0.726666666666667	0.663333333333333	0.67	0.69	0.906666666666667	0.96	0.676666666666667	0.863333333333333	0.946666666666667	0.69	0.513333333333333	0.86	0.943333333333333	0.666666666666667	0.856666666666667	0.613333333333333	0.593333333333333	0.796666666666667	0.786666666666667	0.876666666666667	0.83	0.726666666666667	0.663333333333333	0.67	0.69	0.906666666666667	0.96	0.676666666666667	0.863333333333333	0.946666666666667	0.69	0.513333333333333	0.86	0.943333333333333	0.666666666666667	0.856666666666667	0.613333333333333	0.593333333333333	0.796666666666667	0.786666666666667	0.876666666666667	0.83	0.726666666666667	0.663333333333333	0.67	0.69	0.906666666666667	0.96	0.676666666666667	0.863333333333333	0.946666666666667	0.69	0.513333333333333	0.86	0.943333333333333	0.666666666666667	0.856666666666667	0.613333333333333	0.593333333333333
1 to 2	0.754285714285714	0.711428571428571	0.731428571428571	0.88	0.951428571428571	0.651428571428571	0.748571428571429	0.805714285714286	0.62	0.468571428571429	0.88	0.848571428571429	0.72	0.997142857142857	0.78	0.58	0.691428571428571	0.668571428571429	0.894285714285714	0.722857142857143	0.54	0.754285714285714	0.711428571428571	0.731428571428571	0.88	0.951428571428571	0.651428571428571	0.748571428571429	0.805714285714286	0.62	0.468571428571429	0.88	0.848571428571429	0.72	0.997142857142857	0.78	0.58	0.691428571428571	0.668571428571429	0.894285714285714	0.722857142857143	0.54	0.754285714285714	0.711428571428571	0.731428571428571	0.88	0.951428571428571	0.651428571428571	0.748571428571429	0.805714285714286	0.62	0.468571428571429	0.88	0.848571428571429	0.72	0.997142857142857	0.78	0.58	0.691428571428571	0.668571428571429	0.894285714285714	0.722857142857143	0.54	0.754285714285714	0.711428571428571	0.731428571428571	0.88	0.951428571428571	0.651428571428571	0.748571428571429	0.805714285714286	0.62	0.468571428571429	0.88	0.848571428571429	0.72	0.997142857142857	0.78	0.58	0.691428571428571	0.668571428571429	0.894285714285714	0.722857142857143	0.54	0.754285714285714	0.711428571428571	0.731428571428571	0.88	0.951428571428571	0.651428571428571	0.748571428571429	0.805714285714286	0.62	0.468571428571429	0.88	0.848571428571429	0.72	0.997142857142857	0.78	0.58
1.1 to 2.1	0.765	0.635	0.6425	0.895	0.9475	0.575	0.78	0.71	0.545	0.5125	0.895	0.8675	0.7275	0.8775	0.7875	0.6275	0.7275	0.595	0.905	0.635	0.475	0.765	0.635	0.6425	0.895	0.9475	0.575	0.78	0.71	0.545	0.5125	0.895	0.8675	0.7275	0.8775	0.7875	0.6275	0.7275	0.595	0.905	0.635	0.475	0.765	0.635	0.6425	0.895	0.9475	0.575	0.78	0.71	0.545	0.5125	0.895	0.8675	0.7275	0.8775	0.7875	0.6275	0.7275	0.595	0.905	0.635	0.475	0.765	0.635	0.6425	0.895	0.9475	0.575	0.78	0.71	0.545	0.5125	0.895	0.8675	0.7275	0.8775	0.7875	0.6275	0.7275	0.595	0.905	0.635	0.475	0.765	0.635	0.6425	0.895	0.9475	0.575	0.78	0.71	0.545	0.5125	0.895	0.8675	0.7275	0.8775	0.7875	0.6275
