timing	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
-0.5 to 0.5	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2
-0.4 to 0.6	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2
-0.3 to 0.7	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2	4	27	64	58	53	4	0	3	21	0	71	41	4	0	128	3	86	41	61	99	2
-0.2 to 0.8	4	0	3	2	0	43	6	4	0	87	3	85	0	61	72	0	4	0	45	26	40	4	0	3	2	0	43	6	4	0	87	3	85	0	61	72	0	4	0	45	26	40	4	0	3	2	0	43	6	4	0	87	3	85	0	61	72	0	4	0	45	26	40	4	0	3	2	0	43	6	4	0	87	3	85	0	61	72	0	4	0	45	26	40	4	0	3	2	0	43	6	4	0	87	3	85	0	61	72	0
-0.1 to 0.9	3	0	0	1	0	43	5	4	0	43	3	41	0	38	40	0	4	0	42	0	40	3	0	0	1	0	43	5	4	0	43	3	41	0	38	40	0	4	0	42	0	40	3	0	0	1	0	43	5	4	0	43	3	41	0	38	40	0	4	0	42	0	40	3	0	0	1	0	43	5	4	0	43	3	41	0	38	40	0	4	0	42	0	40	3	0	0	1	0	43	5	4	0	43	3	41	0	38	40	0
0 to 1	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0
0.1 to 1.1	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0
0.2 to 1.2	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0
0.3 to 1.3	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0	4	1	44	0	40	34	6	0	29	0	74	5	6	0	44	3	41	2	81	84	0
0.4 to 1.4	31	51	4	28	0	60	38	2	44	41	42	0	2	43	50	47	0	5	2	1	0	31	51	4	28	0	60	38	2	44	41	42	0	2	43	50	47	0	5	2	1	0	31	51	4	28	0	60	38	2	44	41	42	0	2	43	50	47	0	5	2	1	0	31	51	4	28	0	60	38	2	44	41	42	0	2	43	50	47	0	5	2	1	0	31	51	4	28	0	60	38	2	44	41	42	0	2	43	50	47
