1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
-0.5 to 0.5	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36
-0.4 to 0.6	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36
-0.3 to 0.7	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36	25	0	32	0	0	58	0	43	73	0	46	70	23	50	0	41	42	0	0	0	36
-0.2 to 0.8	58	0	43	73	0	46	70	23	0	0	41	0	0	0	0	0	25	0	32	0	0	58	0	43	73	0	46	70	23	0	0	41	0	0	0	0	0	25	0	32	0	0	58	0	43	73	0	46	70	23	0	0	41	0	0	0	0	0	25	0	32	0	0	58	0	43	73	0	46	70	23	0	0	41	0	0	0	0	0	25	0	32	0	0	58	0	43	73	0	46	70	23	0	0	41	0	0	0	0	0
-0.1 to 0.9	27	0	0	42	0	0	42	23	0	0	41	0	0	0	0	0	25	0	0	0	0	27	0	0	42	0	0	42	23	0	0	41	0	0	0	0	0	25	0	0	0	0	27	0	0	42	0	0	42	23	0	0	41	0	0	0	0	0	25	0	0	0	0	27	0	0	42	0	0	42	23	0	0	41	0	0	0	0	0	25	0	0	0	0	27	0	0	42	0	0	42	23	0	0	41	0	0	0	0	0
0 to 1	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0
0.1 to 1.1	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0
0.2 to 1.2	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0
0.3 to 1.3	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0	69	29	42	0	0	27	39	0	42	0	0	42	46	0	20	41	0	41	0	0	0
0.4 to 1.4	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0	44	52	42	24	0	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0	44	52	42	24	0	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0	44	52	42	24	0	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0	44	52	42	24	0	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0
0.5 to 1.5	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0	44	52	42	24	0	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0	44	52	42	24	0	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0	44	52	42	24	0	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0	44	52	42	24	0	0	39	32	0	0	0	0	23	0	20	0	0	41	0	7	0
0.6 to 1.6	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0	44	58	44	24	0	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0	44	58	44	24	0	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0	44	58	44	24	0	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0	44	58	44	24	0	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0
0.7 to 1.7	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0	44	58	44	24	0	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0	44	58	44	24	0	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0	44	58	44	24	0	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0	44	58	44	24	0	0	39	32	0	7	0	0	23	0	25	0	9	41	0	7	0
0.8 to 1.8	34	68	32	0	7	0	47	23	0	64	0	37	87	0	8	0	92	94	44	24	3	34	68	32	0	7	0	47	23	0	64	0	37	87	0	8	0	92	94	44	24	3	34	68	32	0	7	0	47	23	0	64	0	37	87	0	8	0	92	94	44	24	3	34	68	32	0	7	0	47	23	0	64	0	37	87	0	8	0	92	94	44	24	3	34	68	32	0	7	0	47	23	0	64	0	37	87	0	8	0
0.9 to 1.9	41	68	32	0	12	1	47	23	0	64	0	38	87	0	13	1	95	101	45	24	3	41	68	32	0	12	1	47	23	0	64	0	38	87	0	13	1	95	101	45	24	3	41	68	32	0	12	1	47	23	0	64	0	38	87	0	13	1	95	101	45	24	3	41	68	32	0	12	1	47	23	0	64	0	38	87	0	13	1	95	101	45	24	3	41	68	32	0	12	1	47	23	0	64	0	38	87	0	13	1
1 to 2	83	43	65	0	65	19	52	12	1	54	6	38	46	31	45	1	64	96	18	46	3	83	43	65	0	65	19	52	12	1	54	6	38	46	31	45	1	64	96	18	46	3	83	43	65	0	65	19	52	12	1	54	6	38	46	31	45	1	64	96	18	46	3	83	43	65	0	65	19	52	12	1	54	6	38	46	31	45	1	64	96	18	46	3	83	43	65	0	65	19	52	12	1	54	6	38	46	31	45	1
1.1 to 2.1	87	43	65	0	68	19	53	12	1	54	6	38	47	31	49	1	69	96	18	46	3	87	43	65	0	68	19	53	12	1	54	6	38	47	31	49	1	69	96	18	46	3	87	43	65	0	68	19	53	12	1	54	6	38	47	31	49	1	69	96	18	46	3	87	43	65	0	68	19	53	12	1	54	6	38	47	31	49	1	69	96	18	46	3	87	43	65	0	68	19	53	12	1	54	6	38	47	31	49	1
1.2 to 2.2	88	48	72	0	68	27	58	14	2	59	6	41	47	37	62	1	74	96	19	60	5	88	48	72	0	68	27	58	14	2	59	6	41	47	37	62	1	74	96	19	60	5	88	48	72	0	68	27	58	14	2	59	6	41	47	37	62	1	74	96	19	60	5	88	48	72	0	68	27	58	14	2	59	6	41	47	37	62	1	74	96	19	60	5	88	48	72	0	68	27	58	14	2	59	6	41	47	37	62	1
1.3 to 2.3	100	48	72	27	68	38	69	14	2	61	19	41	67	41	77	1	85	96	20	60	9	100	48	72	27	68	38	69	14	2	61	19	41	67	41	77	1	85	96	20	60	9	100	48	72	27	68	38	69	14	2	61	19	41	67	41	77	1	85	96	20	60	9	100	48	72	27	68	38	69	14	2	61	19	41	67	41	77	1	85	96	20	60	9	100	48	72	27	68	38	69	14	2	61	19	41	67	41	77	1
1.4 to 2.4	100	48	57	27	68	38	69	14	13	83	19	41	67	41	101	1	93	73	30	36	18	100	48	57	27	68	38	69	14	13	83	19	41	67	41	101	1	93	73	30	36	18	100	48	57	27	68	38	69	14	13	83	19	41	67	41	101	1	93	73	30	36	18	100	48	57	27	68	38	69	14	13	83	19	41	67	41	101	1	93	73	30	36	18	100	48	57	27	68	38	69	14	13	83	19	41	67	41	101	1
1.5 to 2.5	147	95	87	71	146	38	75	50	35	127	19	78	91	41	101	34	135	143	30	83	40	147	95	87	71	146	38	75	50	35	127	19	78	91	41	101	34	135	143	30	83	40	147	95	87	71	146	38	75	50	35	127	19	78	91	41	101	34	135	143	30	83	40	147	95	87	71	146	38	75	50	35	127	19	78	91	41	101	34	135	143	30	83	40	147	95	87	71	146	38	75	50	35	127	19	78	91	41	101	34
1.6 to 2.6	147	95	87	71	139	38	75	50	35	122	19	69	91	41	101	34	135	137	28	83	40	147	95	87	71	139	38	75	50	35	122	19	69	91	41	101	34	135	137	28	83	40	147	95	87	71	139	38	75	50	35	122	19	69	91	41	101	34	135	137	28	83	40	147	95	87	71	139	38	75	50	35	122	19	69	91	41	101	34	135	137	28	83	40	147	95	87	71	139	38	75	50	35	122	19	69	91	41	101	34
1.7 to 2.7	147	95	87	71	150	38	81	50	35	122	19	69	104	41	101	41	149	148	47	100	40	147	95	87	71	150	38	81	50	35	122	19	69	104	41	101	41	149	148	47	100	40	147	95	87	71	150	38	81	50	35	122	19	69	104	41	101	41	149	148	47	100	40	147	95	87	71	150	38	81	50	35	122	19	69	104	41	101	41	149	148	47	100	40	147	95	87	71	150	38	81	50	35	122	19	69	104	41	101	41
1.8 to 2.8	113	66	87	71	150	38	34	50	35	83	19	41	58	41	100	41	101	112	47	100	37	113	66	87	71	150	38	34	50	35	83	19	41	58	41	100	41	101	112	47	100	37	113	66	87	71	150	38	34	50	35	83	19	41	58	41	100	41	101	112	47	100	37	113	66	87	71	150	38	34	50	35	83	19	41	58	41	100	41	101	112	47	100	37	113	66	87	71	150	38	34	50	35	83	19	41	58	41	100	41
1.9 to 2.9	106	106	124	71	145	80	71	50	35	83	51	40	88	41	95	64	98	105	70	144	37	106	106	124	71	145	80	71	50	35	83	51	40	88	41	95	64	98	105	70	144	37	106	106	124	71	145	80	71	50	35	83	51	40	88	41	95	64	98	105	70	144	37	106	106	124	71	145	80	71	50	35	83	51	40	88	41	95	64	98	105	70	144	37	106	106	124	71	145	80	71	50	35	83	51	40	88	41	95	64
2 to 3	64	92	91	105	117	62	66	38	66	118	45	57	88	10	63	64	85	107	55	122	37	64	92	91	105	117	62	66	38	66	118	45	57	88	10	63	64	85	107	55	122	37	64	92	91	105	117	62	66	38	66	118	45	57	88	10	63	64	85	107	55	122	37	64	92	91	105	117	62	66	38	66	118	45	57	88	10	63	64	85	107	55	122	37	64	92	91	105	117	62	66	38	66	118	45	57	88	10	63	64
2.1 to 3.1	79	92	117	125	114	62	65	67	66	118	45	89	125	10	78	87	117	107	55	150	37	79	92	117	125	114	62	65	67	66	118	45	89	125	10	78	87	117	107	55	150	37	79	92	117	125	114	62	65	67	66	118	45	89	125	10	78	87	117	107	55	150	37	79	92	117	125	114	62	65	67	66	118	45	89	125	10	78	87	117	107	55	150	37	79	92	117	125	114	62	65	67	66	118	45	89	125	10	78	87
2.2 to 3.2	78	87	110	125	117	54	60	65	65	113	45	103	125	4	72	92	112	119	54	136	35	78	87	110	125	117	54	60	65	65	113	45	103	125	4	72	92	112	119	54	136	35	78	87	110	125	117	54	60	65	65	113	45	103	125	4	72	92	112	119	54	136	35	78	87	110	125	117	54	60	65	65	113	45	103	125	4	72	92	112	119	54	136	35	78	87	110	125	117	54	60	65	65	113	45	103	125	4	72	92
2.3 to 3.3	66	87	110	98	117	43	49	65	65	111	32	103	105	0	57	92	101	119	53	136	31	66	87	110	98	117	43	49	65	65	111	32	103	105	0	57	92	101	119	53	136	31	66	87	110	98	117	43	49	65	65	111	32	103	105	0	57	92	101	119	53	136	31	66	87	110	98	117	43	49	65	65	111	32	103	105	0	57	92	101	119	53	136	31	66	87	110	98	117	43	49	65	65	111	32	103	105	0	57	92
2.4 to 3.4	66	87	93	98	117	43	49	65	54	89	32	103	105	0	26	92	93	119	43	136	22	66	87	93	98	117	43	49	65	54	89	32	103	105	0	26	92	93	119	43	136	22	66	87	93	98	117	43	49	65	54	89	32	103	105	0	26	92	93	119	43	136	22	66	87	93	98	117	43	49	65	54	89	32	103	105	0	26	92	93	119	43	136	22	66	87	93	98	117	43	49	65	54	89	32	103	105	0	26	92
2.5 to 3.5	29	51	73	80	43	47	43	29	45	49	39	71	85	25	36	61	55	49	64	90	6	29	51	73	80	43	47	43	29	45	49	39	71	85	25	36	61	55	49	64	90	6	29	51	73	80	43	47	43	29	45	49	39	71	85	25	36	61	55	49	64	90	6	29	51	73	80	43	47	43	29	45	49	39	71	85	25	36	61	55	49	64	90	6	29	51	73	80	43	47	43	29	45	49	39	71	85	25	36	61
2.6 to 3.6	29	58	73	98	55	47	43	48	45	49	39	71	91	33	36	61	64	56	80	105	19	29	58	73	98	55	47	43	48	45	49	39	71	91	33	36	61	64	56	80	105	19	29	58	73	98	55	47	43	48	45	49	39	71	91	33	36	61	64	56	80	105	19	29	58	73	98	55	47	43	48	45	49	39	71	91	33	36	61	64	56	80	105	19	29	58	73	98	55	47	43	48	45	49	39	71	91	33	36	61
2.7 to 3.7	29	58	73	98	44	47	37	48	45	49	39	71	78	33	36	54	50	45	61	88	19	29	58	73	98	44	47	37	48	45	49	39	71	78	33	36	54	50	45	61	88	19	29	58	73	98	44	47	37	48	45	49	39	71	78	33	36	54	50	45	61	88	19	29	58	73	98	44	47	37	48	45	49	39	71	78	33	36	54	50	45	61	88	19	29	58	73	98	44	47	37	48	45	49	39	71	78	33	36	54
2.8 to 3.8	55	60	73	98	48	60	57	48	45	60	63	71	95	33	36	68	50	53	89	109	19	55	60	73	98	48	60	57	48	45	60	63	71	95	33	36	68	50	53	89	109	19	55	60	73	98	48	60	57	48	45	60	63	71	95	33	36	68	50	53	89	109	19	55	60	73	98	48	60	57	48	45	60	63	71	95	33	36	68	50	53	89	109	19	55	60	73	98	48	60	57	48	45	60	63	71	95	33	36	68
2.9 to 3.9	110	23	69	130	81	49	28	84	52	76	46	81	117	35	47	94	57	87	103	118	68	110	23	69	130	81	49	28	84	52	76	46	81	117	35	47	94	57	87	103	118	68	110	23	69	130	81	49	28	84	52	76	46	81	117	35	47	94	57	87	103	118	68	110	23	69	130	81	49	28	84	52	76	46	81	117	35	47	94	57	87	103	118	68	110	23	69	130	81	49	28	84	52	76	46	81	117	35	47	94
3 to 4	110	23	69	96	56	49	28	84	20	31	46	64	117	35	47	94	57	61	103	118	68	110	23	69	96	56	49	28	84	20	31	46	64	117	35	47	94	57	61	103	118	68	110	23	69	96	56	49	28	84	20	31	46	64	117	35	47	94	57	61	103	118	68	110	23	69	96	56	49	28	84	20	31	46	64	117	35	47	94	57	61	103	118	68	110	23	69	96	56	49	28	84	20	31	46	64	117	35	47	94
3.1 to 4.1	112	23	46	98	56	60	28	55	35	46	68	36	104	51	58	87	40	80	118	90	70	112	23	46	98	56	60	28	55	35	46	68	36	104	51	58	87	40	80	118	90	70	112	23	46	98	56	60	28	55	35	46	68	36	104	51	58	87	40	80	118	90	70	112	23	46	98	56	60	28	55	35	46	68	36	104	51	58	87	40	80	118	90	70	112	23	46	98	56	60	28	55	35	46	68	36	104	51	58	87
3.2 to 4.2	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82
3.3 to 4.3	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82
3.4 to 4.4	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82	45	81	118	91	77	112	23	46	98	67	60	28	73	35	46	83	19	104	73	57	82
3.5 to 4.5	102	12	36	72	63	56	28	73	22	42	76	14	100	48	47	80	41	81	97	90	71	102	12	36	72	63	56	28	73	22	42	76	14	100	48	47	80	41	81	97	90	71	102	12	36	72	63	56	28	73	22	42	76	14	100	48	47	80	41	81	97	90	71	102	12	36	72	63	56	28	73	22	42	76	14	100	48	47	80	41	81	97	90	71	102	12	36	72	63	56	28	73	22	42	76	14	100	48	47	80
3.6 to 4.6	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164	44	109	111	140	88	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164	44	109	111	140	88	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164	44	109	111	140	88	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164	44	109	111	140	88	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164
3.7 to 4.7	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164	44	109	111	140	88	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164	44	109	111	140	88	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164	44	109	111	140	88	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164	44	109	111	140	88	179	15	82	78	106	78	79	84	58	97	115	76	121	81	81	164
3.8 to 4.8	153	13	83	87	113	67	64	97	61	91	114	83	106	88	83	154	56	125	84	119	90	153	13	83	87	113	67	64	97	61	91	114	83	106	88	83	154	56	125	84	119	90	153	13	83	87	113	67	64	97	61	91	114	83	106	88	83	154	56	125	84	119	90	153	13	83	87	113	67	64	97	61	91	114	83	106	88	83	154	56	125	84	119	90	153	13	83	87	113	67	64	97	61	91	114	83	106	88	83	154
3.9 to 4.9	98	10	50	55	80	35	56	61	54	75	99	73	54	86	72	104	49	91	46	66	41	98	10	50	55	80	35	56	61	54	75	99	73	54	86	72	104	49	91	46	66	41	98	10	50	55	80	35	56	61	54	75	99	73	54	86	72	104	49	91	46	66	41	98	10	50	55	80	35	56	61	54	75	99	73	54	86	72	104	49	91	46	66	41	98	10	50	55	80	35	56	61	54	75	99	73	54	86	72	104
