1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
-0.5 to 0.5	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112
-0.4 to 0.6	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112
-0.3 to 0.7	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112	121	100	15	50	50	87	150	104	25	150	4	23	123	100	0	104	7	100	50	0	112
-0.2 to 0.8	37	100	54	25	100	4	23	73	100	0	54	0	100	0	0	100	71	100	15	50	50	37	100	54	25	100	4	23	73	100	0	54	0	100	0	0	100	71	100	15	50	50	37	100	54	25	100	4	23	73	100	0	54	0	100	0	0	100	71	100	15	50	50	37	100	54	25	100	4	23	73	100	0	54	0	100	0	0	100	71	100	15	50	50	37	100	54	25	100	4	23	73	100	0	54	0	100	0	0	100
-0.1 to 0.9	19	50	50	7	50	0	2	23	50	0	4	0	50	0	0	50	21	50	0	50	0	19	50	50	7	50	0	2	23	50	0	4	0	50	0	0	50	21	50	0	50	0	19	50	50	7	50	0	2	23	50	0	4	0	50	0	0	50	21	50	0	50	0	19	50	50	7	50	0	2	23	50	0	4	0	50	0	0	50	21	50	0	50	0	19	50	50	7	50	0	2	23	50	0	4	0	50	0	0	50
0 to 1	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100
0.1 to 1.1	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100
0.2 to 1.2	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100
0.3 to 1.3	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100	27	68	6	100	50	19	54	100	7	100	0	52	48	100	29	54	50	56	0	0	100
0.4 to 1.4	50	4	64	50	100	0	50	75	50	29	50	100	56	50	37	50	56	40	56	75	100	50	4	64	50	100	0	50	75	50	29	50	100	56	50	37	50	56	40	56	75	100	50	4	64	50	100	0	50	75	50	29	50	100	56	50	37	50	56	40	56	75	100	50	4	64	50	100	0	50	75	50	29	50	100	56	50	37	50	56	40	56	75	100	50	4	64	50	100	0	50	75	50	29	50	100	56	50	37	50
