1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
-0.5 to 0.5	0.25	0.26	0.02	0.555	0.75	0.51	0.34	0.03	0.525	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345
-0.4 to 0.6	0.25	0.26	0.02	0.555	0.75	0.51	0.34	0.03	0.525	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345
-0.3 to 0.7	0.5	0.18	0.183333333333333	0.4	0.833333333333333	0.506666666666667	0.46	0.04	0.35	0.703333333333333	0.546666666666667	0.406666666666667	0.5	0.18	0.02	0.426666666666667	0.5	0.5	0.19	0.266666666666667	0.356666666666667	0.423333333333333	0.193333333333333	0.336666666666667	0.54	0.51	0.346666666666667	0.0633333333333333	0.703333333333333	0.546666666666667	0.406666666666667	0.5	0.18	0.02	0.426666666666667	0.5	0.5	0.19	0.266666666666667	0.356666666666667	0.423333333333333	0.193333333333333	0.336666666666667	0.54	0.51	0.346666666666667	0.0633333333333333	0.703333333333333	0.546666666666667	0.406666666666667	0.5	0.18	0.02	0.426666666666667	0.5	0.5	0.19	0.266666666666667	0.356666666666667	0.423333333333333	0.193333333333333	0.336666666666667	0.54	0.51	0.346666666666667	0.0633333333333333	0.703333333333333	0.546666666666667	0.406666666666667	0.5	0.18	0.02	0.426666666666667	0.5	0.5	0.19	0.266666666666667	0.356666666666667	0.423333333333333	0.193333333333333	0.336666666666667	0.54	0.51	0.346666666666667	0.0633333333333333	0.703333333333333	0.546666666666667	0.406666666666667	0.5	0.18	0.02	0.426666666666667	0.5	0.5	0.19	0.266666666666667	0.356666666666667	0.423333333333333	0.193333333333333	0.336666666666667
-0.2 to 0.8	0.562222222222222	0.124444444444444	0.302222222222222	0.386666666666667	0.74	0.564444444444444	0.346666666666667	0.164444444444444	0.248888888888889	0.5	0.491111111111111	0.393333333333333	0.46	0.231111111111111	0.0311111111111111	0.328888888888889	0.364444444444444	0.555555555555556	0.248888888888889	0.197777777777778	0.253333333333333	0.406666666666667	0.135555555555556	0.557777777777778	0.591111111111111	0.451111111111111	0.36	0.171111111111111	0.5	0.491111111111111	0.393333333333333	0.46	0.231111111111111	0.0311111111111111	0.328888888888889	0.364444444444444	0.555555555555556	0.248888888888889	0.197777777777778	0.253333333333333	0.406666666666667	0.135555555555556	0.557777777777778	0.591111111111111	0.451111111111111	0.36	0.171111111111111	0.5	0.491111111111111	0.393333333333333	0.46	0.231111111111111	0.0311111111111111	0.328888888888889	0.364444444444444	0.555555555555556	0.248888888888889	0.197777777777778	0.253333333333333	0.406666666666667	0.135555555555556	0.557777777777778	0.591111111111111	0.451111111111111	0.36	0.171111111111111	0.5	0.491111111111111	0.393333333333333	0.46	0.231111111111111	0.0311111111111111	0.328888888888889	0.364444444444444	0.555555555555556	0.248888888888889	0.197777777777778	0.253333333333333	0.406666666666667	0.135555555555556	0.557777777777778	0.591111111111111	0.451111111111111	0.36	0.171111111111111	0.5	0.491111111111111	0.393333333333333	0.46	0.231111111111111	0.0311111111111111	0.328888888888889	0.364444444444444	0.555555555555556	0.248888888888889	0.197777777777778	0.253333333333333	0.406666666666667	0.135555555555556	0.557777777777778
-0.1 to 0.9	0.6325	0.1375	0.34	0.31	0.8325	0.635	0.265	0.185	0.155	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025	0.54	0.5075	0.4	0.185	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025	0.54	0.5075	0.4	0.185	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025	0.54	0.5075	0.4	0.185	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025	0.54	0.5075	0.4	0.185	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025
0 to 1	0.516	0.31	0.376	0.448	0.696	0.608	0.222	0.158	0.138	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502	0.55	0.606	0.422	0.256	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502	0.55	0.606	0.422	0.256	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502	0.55	0.606	0.422	0.256	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502	0.55	0.606	0.422	0.256	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502
0.1 to 1.1	0.496923076923077	0.393846153846154	0.295384615384615	0.48	0.633846153846154	0.475384615384615	0.307692307692308	0.2	0.186153846153846	0.363076923076923	0.487692307692308	0.443076923076923	0.483076923076923	0.186153846153846	0.198461538461538	0.304615384615385	0.333846153846154	0.550769230769231	0.276923076923077	0.170769230769231	0.226153846153846	0.272307692307692	0.130769230769231	0.484615384615385	0.544615384615385	0.509230769230769	0.487692307692308	0.289230769230769	0.363076923076923	0.487692307692308	0.443076923076923	0.483076923076923	0.186153846153846	0.198461538461538	0.304615384615385	0.333846153846154	0.550769230769231	0.276923076923077	0.170769230769231	0.226153846153846	0.272307692307692	0.130769230769231	0.484615384615385	0.544615384615385	0.509230769230769	0.487692307692308	0.289230769230769	0.363076923076923	0.487692307692308	0.443076923076923	0.483076923076923	0.186153846153846	0.198461538461538	0.304615384615385	0.333846153846154	0.550769230769231	0.276923076923077	0.170769230769231	0.226153846153846	0.272307692307692	0.130769230769231	0.484615384615385	0.544615384615385	0.509230769230769	0.487692307692308	0.289230769230769	0.363076923076923	0.487692307692308	0.443076923076923	0.483076923076923	0.186153846153846	0.198461538461538	0.304615384615385	0.333846153846154	0.550769230769231	0.276923076923077	0.170769230769231	0.226153846153846	0.272307692307692	0.130769230769231	0.484615384615385	0.544615384615385	0.509230769230769	0.487692307692308	0.289230769230769	0.363076923076923	0.487692307692308	0.443076923076923	0.483076923076923	0.186153846153846	0.198461538461538	0.304615384615385	0.333846153846154	0.550769230769231	0.276923076923077	0.170769230769231	0.226153846153846	0.272307692307692	0.130769230769231	0.484615384615385
0.2 to 1.2	0.47	0.3825	0.2625	0.515	0.55	0.395	0.25	0.23875	0.21875	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125	0.45125	0.47625	0.47375	0.31	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125	0.45125	0.47625	0.47375	0.31	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125	0.45125	0.47625	0.47375	0.31	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125	0.45125	0.47625	0.47375	0.31	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125
0.3 to 1.3	0.501176470588235	0.367058823529412	0.250588235294118	0.491764705882353	0.52	0.430588235294118	0.237647058823529	0.283529411764706	0.264705882352941	0.463529411764706	0.434117647058824	0.515294117647059	0.454117647058824	0.157647058823529	0.236470588235294	0.338823529411765	0.26	0.545882352941176	0.336470588235294	0.207058823529412	0.301176470588235	0.338823529411765	0.197647058823529	0.502352941176471	0.427058823529412	0.476470588235294	0.455294117647059	0.294117647058824	0.463529411764706	0.434117647058824	0.515294117647059	0.454117647058824	0.157647058823529	0.236470588235294	0.338823529411765	0.26	0.545882352941176	0.336470588235294	0.207058823529412	0.301176470588235	0.338823529411765	0.197647058823529	0.502352941176471	0.427058823529412	0.476470588235294	0.455294117647059	0.294117647058824	0.463529411764706	0.434117647058824	0.515294117647059	0.454117647058824	0.157647058823529	0.236470588235294	0.338823529411765	0.26	0.545882352941176	0.336470588235294	0.207058823529412	0.301176470588235	0.338823529411765	0.197647058823529	0.502352941176471	0.427058823529412	0.476470588235294	0.455294117647059	0.294117647058824	0.463529411764706	0.434117647058824	0.515294117647059	0.454117647058824	0.157647058823529	0.236470588235294	0.338823529411765	0.26	0.545882352941176	0.336470588235294	0.207058823529412	0.301176470588235	0.338823529411765	0.197647058823529	0.502352941176471	0.427058823529412	0.476470588235294	0.455294117647059	0.294117647058824	0.463529411764706	0.434117647058824	0.515294117647059	0.454117647058824	0.157647058823529	0.236470588235294	0.338823529411765	0.26	0.545882352941176	0.336470588235294	0.207058823529412	0.301176470588235	0.338823529411765	0.197647058823529	0.502352941176471
0.4 to 1.4	0.5325	0.3275	0.26625	0.52	0.49	0.395	0.24875	0.2975	0.28125	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53	0.45375	0.5025	0.42125	0.30875	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53	0.45375	0.5025	0.42125	0.30875	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53	0.45375	0.5025	0.42125	0.30875	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53	0.45375	0.5025	0.42125	0.30875	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53
