timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100	lowerCI	upperCI	meanCI
-0.5 to 0.5	0.25	0.26	0.02	0.555	0.75	0.51	0.34	0.03	0.525	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.362768438	0.438431562	0.4006
-0.4 to 0.6	0.25	0.26	0.02	0.555	0.75	0.51	0.34	0.03	0.525	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.55	0.515	0.26	0.03	0.555	0.555	0.59	0.5	0.26	0.015	0.64	0.5	0.25	0.275	0.38	0.53	0.635	0.25	0.345	0.362768438	0.438431562	0.4006
-0.3 to 0.7	0.5	0.18	0.183333333	0.4	0.833333333	0.506666667	0.46	0.04	0.35	0.703333333	0.546666667	0.406666667	0.5	0.18	0.02	0.426666667	0.5	0.5	0.19	0.266666667	0.356666667	0.423333333	0.193333333	0.336666667	0.54	0.51	0.346666667	0.063333333	0.703333333	0.546666667	0.406666667	0.5	0.18	0.02	0.426666667	0.5	0.5	0.19	0.266666667	0.356666667	0.423333333	0.193333333	0.336666667	0.54	0.51	0.346666667	0.063333333	0.703333333	0.546666667	0.406666667	0.5	0.18	0.02	0.426666667	0.5	0.5	0.19	0.266666667	0.356666667	0.423333333	0.193333333	0.336666667	0.54	0.51	0.346666667	0.063333333	0.703333333	0.546666667	0.406666667	0.5	0.18	0.02	0.426666667	0.5	0.5	0.19	0.266666667	0.356666667	0.423333333	0.193333333	0.336666667	0.54	0.51	0.346666667	0.063333333	0.703333333	0.546666667	0.406666667	0.5	0.18	0.02	0.426666667	0.5	0.5	0.19	0.266666667	0.356666667	0.423333333	0.193333333	0.336666667	0.334844386	0.406022281	0.370433333
-0.2 to 0.8	0.562222222	0.124444444	0.302222222	0.386666667	0.74	0.564444444	0.346666667	0.164444444	0.248888889	0.5	0.491111111	0.393333333	0.46	0.231111111	0.031111111	0.328888889	0.364444444	0.555555556	0.248888889	0.197777778	0.253333333	0.406666667	0.135555556	0.557777778	0.591111111	0.451111111	0.36	0.171111111	0.5	0.491111111	0.393333333	0.46	0.231111111	0.031111111	0.328888889	0.364444444	0.555555556	0.248888889	0.197777778	0.253333333	0.406666667	0.135555556	0.557777778	0.591111111	0.451111111	0.36	0.171111111	0.5	0.491111111	0.393333333	0.46	0.231111111	0.031111111	0.328888889	0.364444444	0.555555556	0.248888889	0.197777778	0.253333333	0.406666667	0.135555556	0.557777778	0.591111111	0.451111111	0.36	0.171111111	0.5	0.491111111	0.393333333	0.46	0.231111111	0.031111111	0.328888889	0.364444444	0.555555556	0.248888889	0.197777778	0.253333333	0.406666667	0.135555556	0.557777778	0.591111111	0.451111111	0.36	0.171111111	0.5	0.491111111	0.393333333	0.46	0.231111111	0.031111111	0.328888889	0.364444444	0.555555556	0.248888889	0.197777778	0.253333333	0.406666667	0.135555556	0.557777778	0.323626083	0.38659614	0.355111111
-0.1 to 0.9	0.6325	0.1375	0.34	0.31	0.8325	0.635	0.265	0.185	0.155	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025	0.54	0.5075	0.4	0.185	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025	0.54	0.5075	0.4	0.185	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025	0.54	0.5075	0.4	0.185	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025	0.54	0.5075	0.4	0.185	0.4375	0.4275	0.3175	0.5175	0.26	0.035	0.245	0.41	0.625	0.28	0.0975	0.16	0.445	0.1525	0.5025	0.311563798	0.380136202	0.34585
0 to 1	0.516	0.31	0.376	0.448	0.696	0.608	0.222	0.158	0.138	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502	0.55	0.606	0.422	0.256	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502	0.55	0.606	0.422	0.256	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502	0.55	0.606	0.422	0.256	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502	0.55	0.606	0.422	0.256	0.366	0.442	0.362	0.428	0.208	0.13	0.396	0.334	0.606	0.328	0.078	0.182	0.386	0.142	0.502	0.321619263	0.383540737	0.35258
0.1 to 1.1	0.496923077	0.393846154	0.295384615	0.48	0.633846154	0.475384615	0.307692308	0.2	0.186153846	0.363076923	0.487692308	0.443076923	0.483076923	0.186153846	0.198461538	0.304615385	0.333846154	0.550769231	0.276923077	0.170769231	0.226153846	0.272307692	0.130769231	0.484615385	0.544615385	0.509230769	0.487692308	0.289230769	0.363076923	0.487692308	0.443076923	0.483076923	0.186153846	0.198461538	0.304615385	0.333846154	0.550769231	0.276923077	0.170769231	0.226153846	0.272307692	0.130769231	0.484615385	0.544615385	0.509230769	0.487692308	0.289230769	0.363076923	0.487692308	0.443076923	0.483076923	0.186153846	0.198461538	0.304615385	0.333846154	0.550769231	0.276923077	0.170769231	0.226153846	0.272307692	0.130769231	0.484615385	0.544615385	0.509230769	0.487692308	0.289230769	0.363076923	0.487692308	0.443076923	0.483076923	0.186153846	0.198461538	0.304615385	0.333846154	0.550769231	0.276923077	0.170769231	0.226153846	0.272307692	0.130769231	0.484615385	0.544615385	0.509230769	0.487692308	0.289230769	0.363076923	0.487692308	0.443076923	0.483076923	0.186153846	0.198461538	0.304615385	0.333846154	0.550769231	0.276923077	0.170769231	0.226153846	0.272307692	0.130769231	0.484615385	0.326429591	0.380647332	0.353538462
0.2 to 1.2	0.47	0.3825	0.2625	0.515	0.55	0.395	0.25	0.23875	0.21875	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125	0.45125	0.47625	0.47375	0.31	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125	0.45125	0.47625	0.47375	0.31	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125	0.45125	0.47625	0.47375	0.31	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125	0.45125	0.47625	0.47375	0.31	0.4825	0.41375	0.485	0.42	0.16	0.245	0.2975	0.27625	0.5175	0.295	0.20625	0.31875	0.2975	0.205	0.47125	0.333476259	0.378198741	0.3558375
0.3 to 1.3	0.501176471	0.367058824	0.250588235	0.491764706	0.52	0.430588235	0.237647059	0.283529412	0.264705882	0.463529412	0.434117647	0.515294118	0.454117647	0.157647059	0.236470588	0.338823529	0.26	0.545882353	0.336470588	0.207058824	0.301176471	0.338823529	0.197647059	0.502352941	0.427058824	0.476470588	0.455294118	0.294117647	0.463529412	0.434117647	0.515294118	0.454117647	0.157647059	0.236470588	0.338823529	0.26	0.545882353	0.336470588	0.207058824	0.301176471	0.338823529	0.197647059	0.502352941	0.427058824	0.476470588	0.455294118	0.294117647	0.463529412	0.434117647	0.515294118	0.454117647	0.157647059	0.236470588	0.338823529	0.26	0.545882353	0.336470588	0.207058824	0.301176471	0.338823529	0.197647059	0.502352941	0.427058824	0.476470588	0.455294118	0.294117647	0.463529412	0.434117647	0.515294118	0.454117647	0.157647059	0.236470588	0.338823529	0.26	0.545882353	0.336470588	0.207058824	0.301176471	0.338823529	0.197647059	0.502352941	0.427058824	0.476470588	0.455294118	0.294117647	0.463529412	0.434117647	0.515294118	0.454117647	0.157647059	0.236470588	0.338823529	0.26	0.545882353	0.336470588	0.207058824	0.301176471	0.338823529	0.197647059	0.502352941	0.340815941	0.387301706	0.364058824
0.4 to 1.4	0.5325	0.3275	0.26625	0.52	0.49	0.395	0.24875	0.2975	0.28125	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53	0.45375	0.5025	0.42125	0.30875	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53	0.45375	0.5025	0.42125	0.30875	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53	0.45375	0.5025	0.42125	0.30875	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53	0.45375	0.5025	0.42125	0.30875	0.43	0.45875	0.54375	0.4825	0.165	0.2475	0.36	0.21375	0.58	0.35125	0.2	0.2575	0.2975	0.21	0.53	0.342037234	0.392787766	0.3674125
