1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
-0.5 to 0.5	0.815	0.92	0.985	0.58	0.535	0.675	0.815	0.985	0.605	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78	0.59	0.685	0.98	0.975	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78	0.59	0.685	0.98	0.975	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78	0.59	0.685	0.98	0.975	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78	0.59	0.685	0.98	0.975	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78
-0.4 to 0.6	0.815	0.92	0.985	0.58	0.535	0.675	0.815	0.985	0.605	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78	0.59	0.685	0.98	0.975	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78	0.59	0.685	0.98	0.975	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78	0.59	0.685	0.98	0.975	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78	0.59	0.685	0.98	0.975	0.725	0.645	0.54	0.71	0.94	1	0.72	0.675	0.82	0.94	0.74	0.72	0.625	0.875	0.78
-0.3 to 0.7	0.69	0.943333333333333	0.913333333333333	0.706666666666667	0.45	0.676666666666667	0.753333333333333	0.976666666666667	0.736666666666667	0.593333333333333	0.623333333333333	0.693333333333333	0.67	0.956666666666667	0.996666666666667	0.813333333333333	0.633333333333333	0.656666666666667	0.953333333333333	0.813333333333333	0.81	0.75	0.9	0.833333333333333	0.683333333333333	0.666666666666667	0.976666666666667	0.953333333333333	0.593333333333333	0.623333333333333	0.693333333333333	0.67	0.956666666666667	0.996666666666667	0.813333333333333	0.633333333333333	0.656666666666667	0.953333333333333	0.813333333333333	0.81	0.75	0.9	0.833333333333333	0.683333333333333	0.666666666666667	0.976666666666667	0.953333333333333	0.593333333333333	0.623333333333333	0.693333333333333	0.67	0.956666666666667	0.996666666666667	0.813333333333333	0.633333333333333	0.656666666666667	0.953333333333333	0.813333333333333	0.81	0.75	0.9	0.833333333333333	0.683333333333333	0.666666666666667	0.976666666666667	0.953333333333333	0.593333333333333	0.623333333333333	0.693333333333333	0.67	0.956666666666667	0.996666666666667	0.813333333333333	0.633333333333333	0.656666666666667	0.953333333333333	0.813333333333333	0.81	0.75	0.9	0.833333333333333	0.683333333333333	0.666666666666667	0.976666666666667	0.953333333333333	0.593333333333333	0.623333333333333	0.693333333333333	0.67	0.956666666666667	0.996666666666667	0.813333333333333	0.633333333333333	0.656666666666667	0.953333333333333	0.813333333333333	0.81	0.75	0.9	0.833333333333333
-0.2 to 0.8	0.693333333333333	0.962222222222222	0.873333333333333	0.731111111111111	0.553333333333333	0.664444444444444	0.824444444444444	0.924444444444444	0.824444444444444	0.726666666666667	0.74	0.784444444444444	0.72	0.966666666666667	0.995555555555556	0.871111111111111	0.748888888888889	0.68	0.957777777777778	0.871111111111111	0.868888888888889	0.74	0.931111111111111	0.757777777777778	0.686666666666667	0.691111111111111	0.917777777777778	0.948888888888889	0.726666666666667	0.74	0.784444444444444	0.72	0.966666666666667	0.995555555555556	0.871111111111111	0.748888888888889	0.68	0.957777777777778	0.871111111111111	0.868888888888889	0.74	0.931111111111111	0.757777777777778	0.686666666666667	0.691111111111111	0.917777777777778	0.948888888888889	0.726666666666667	0.74	0.784444444444444	0.72	0.966666666666667	0.995555555555556	0.871111111111111	0.748888888888889	0.68	0.957777777777778	0.871111111111111	0.868888888888889	0.74	0.931111111111111	0.757777777777778	0.686666666666667	0.691111111111111	0.917777777777778	0.948888888888889	0.726666666666667	0.74	0.784444444444444	0.72	0.966666666666667	0.995555555555556	0.871111111111111	0.748888888888889	0.68	0.957777777777778	0.871111111111111	0.868888888888889	0.74	0.931111111111111	0.757777777777778	0.686666666666667	0.691111111111111	0.917777777777778	0.948888888888889	0.726666666666667	0.74	0.784444444444444	0.72	0.966666666666667	0.995555555555556	0.871111111111111	0.748888888888889	0.68	0.957777777777778	0.871111111111111	0.868888888888889	0.74	0.931111111111111	0.757777777777778
-0.1 to 0.9	0.655	0.9575	0.8575	0.7975	0.4975	0.6225	0.885	0.915	0.8925	0.7725	0.7925	0.8725	0.685	0.9625	0.995	0.9425	0.7175	0.64	0.9525	0.9525	0.9075	0.72	0.9225	0.8075	0.7475	0.6525	0.9125	0.95	0.7725	0.7925	0.8725	0.685	0.9625	0.995	0.9425	0.7175	0.64	0.9525	0.9525	0.9075	0.72	0.9225	0.8075	0.7475	0.6525	0.9125	0.95	0.7725	0.7925	0.8725	0.685	0.9625	0.995	0.9425	0.7175	0.64	0.9525	0.9525	0.9075	0.72	0.9225	0.8075	0.7475	0.6525	0.9125	0.95	0.7725	0.7925	0.8725	0.685	0.9625	0.995	0.9425	0.7175	0.64	0.9525	0.9525	0.9075	0.72	0.9225	0.8075	0.7475	0.6525	0.9125	0.95	0.7725	0.7925	0.8725	0.685	0.9625	0.995	0.9425	0.7175	0.64	0.9525	0.9525	0.9075	0.72	0.9225	0.8075
0 to 1	0.714	0.808	0.83	0.722	0.584	0.614	0.898	0.926	0.906	0.804	0.764	0.82	0.734	0.97	0.932	0.862	0.77	0.628	0.894	0.962	0.908	0.754	0.924	0.768	0.718	0.63	0.874	0.864	0.804	0.764	0.82	0.734	0.97	0.932	0.862	0.77	0.628	0.894	0.962	0.908	0.754	0.924	0.768	0.718	0.63	0.874	0.864	0.804	0.764	0.82	0.734	0.97	0.932	0.862	0.77	0.628	0.894	0.962	0.908	0.754	0.924	0.768	0.718	0.63	0.874	0.864	0.804	0.764	0.82	0.734	0.97	0.932	0.862	0.77	0.628	0.894	0.962	0.908	0.754	0.924	0.768	0.718	0.63	0.874	0.864	0.804	0.764	0.82	0.734	0.97	0.932	0.862	0.77	0.628	0.894	0.962	0.908	0.754	0.924	0.768
0.1 to 1.1	0.707692307692308	0.809230769230769	0.869230769230769	0.769230769230769	0.629230769230769	0.692307692307692	0.806153846153846	0.883076923076923	0.910769230769231	0.833846153846154	0.727692307692308	0.775384615384615	0.690769230769231	0.966153846153846	0.910769230769231	0.890769230769231	0.781538461538462	0.676923076923077	0.910769230769231	0.92	0.892307692307692	0.810769230769231	0.950769230769231	0.776923076923077	0.730769230769231	0.672307692307692	0.86	0.827692307692308	0.833846153846154	0.727692307692308	0.775384615384615	0.690769230769231	0.966153846153846	0.910769230769231	0.890769230769231	0.781538461538462	0.676923076923077	0.910769230769231	0.92	0.892307692307692	0.810769230769231	0.950769230769231	0.776923076923077	0.730769230769231	0.672307692307692	0.86	0.827692307692308	0.833846153846154	0.727692307692308	0.775384615384615	0.690769230769231	0.966153846153846	0.910769230769231	0.890769230769231	0.781538461538462	0.676923076923077	0.910769230769231	0.92	0.892307692307692	0.810769230769231	0.950769230769231	0.776923076923077	0.730769230769231	0.672307692307692	0.86	0.827692307692308	0.833846153846154	0.727692307692308	0.775384615384615	0.690769230769231	0.966153846153846	0.910769230769231	0.890769230769231	0.781538461538462	0.676923076923077	0.910769230769231	0.92	0.892307692307692	0.810769230769231	0.950769230769231	0.776923076923077	0.730769230769231	0.672307692307692	0.86	0.827692307692308	0.833846153846154	0.727692307692308	0.775384615384615	0.690769230769231	0.966153846153846	0.910769230769231	0.890769230769231	0.781538461538462	0.676923076923077	0.910769230769231	0.92	0.892307692307692	0.810769230769231	0.950769230769231	0.776923076923077
0.2 to 1.2	0.71375	0.80875	0.89125	0.735	0.6925	0.74625	0.8425	0.85625	0.88625	0.78875	0.7675	0.77125	0.73625	0.97	0.90375	0.8975	0.82	0.68	0.9075	0.92625	0.83	0.79125	0.90125	0.78	0.78	0.68875	0.865	0.81625	0.78875	0.7675	0.77125	0.73625	0.97	0.90375	0.8975	0.82	0.68	0.9075	0.92625	0.83	0.79125	0.90125	0.78	0.78	0.68875	0.865	0.81625	0.78875	0.7675	0.77125	0.73625	0.97	0.90375	0.8975	0.82	0.68	0.9075	0.92625	0.83	0.79125	0.90125	0.78	0.78	0.68875	0.865	0.81625	0.78875	0.7675	0.77125	0.73625	0.97	0.90375	0.8975	0.82	0.68	0.9075	0.92625	0.83	0.79125	0.90125	0.78	0.78	0.68875	0.865	0.81625	0.78875	0.7675	0.77125	0.73625	0.97	0.90375	0.8975	0.82	0.68	0.9075	0.92625	0.83	0.79125	0.90125	0.78
0.3 to 1.3	0.725882352941176	0.815294117647059	0.897647058823529	0.749411764705882	0.709411764705882	0.731764705882353	0.851764705882353	0.863529411764706	0.891764705882353	0.801176470588235	0.777647058823529	0.744705882352941	0.730588235294118	0.970588235294118	0.909411764705882	0.884705882352941	0.830588235294118	0.68	0.904705882352941	0.923529411764706	0.838823529411765	0.76	0.904705882352941	0.763529411764706	0.790588235294118	0.704705882352941	0.869411764705882	0.825882352941177	0.801176470588235	0.777647058823529	0.744705882352941	0.730588235294118	0.970588235294118	0.909411764705882	0.884705882352941	0.830588235294118	0.68	0.904705882352941	0.923529411764706	0.838823529411765	0.76	0.904705882352941	0.763529411764706	0.790588235294118	0.704705882352941	0.869411764705882	0.825882352941177	0.801176470588235	0.777647058823529	0.744705882352941	0.730588235294118	0.970588235294118	0.909411764705882	0.884705882352941	0.830588235294118	0.68	0.904705882352941	0.923529411764706	0.838823529411765	0.76	0.904705882352941	0.763529411764706	0.790588235294118	0.704705882352941	0.869411764705882	0.825882352941177	0.801176470588235	0.777647058823529	0.744705882352941	0.730588235294118	0.970588235294118	0.909411764705882	0.884705882352941	0.830588235294118	0.68	0.904705882352941	0.923529411764706	0.838823529411765	0.76	0.904705882352941	0.763529411764706	0.790588235294118	0.704705882352941	0.869411764705882	0.825882352941177	0.801176470588235	0.777647058823529	0.744705882352941	0.730588235294118	0.970588235294118	0.909411764705882	0.884705882352941	0.830588235294118	0.68	0.904705882352941	0.923529411764706	0.838823529411765	0.76	0.904705882352941	0.763529411764706
0.4 to 1.4	0.70875	0.8225	0.89125	0.73625	0.72875	0.75625	0.84375	0.85625	0.885	0.81125	0.76375	0.73125	0.71375	0.96875	0.90375	0.8775	0.8475	0.66	0.9025	0.925	0.86875	0.77125	0.89875	0.74875	0.7775	0.68875	0.86375	0.8175	0.81125	0.76375	0.73125	0.71375	0.96875	0.90375	0.8775	0.8475	0.66	0.9025	0.925	0.86875	0.77125	0.89875	0.74875	0.7775	0.68875	0.86375	0.8175	0.81125	0.76375	0.73125	0.71375	0.96875	0.90375	0.8775	0.8475	0.66	0.9025	0.925	0.86875	0.77125	0.89875	0.74875	0.7775	0.68875	0.86375	0.8175	0.81125	0.76375	0.73125	0.71375	0.96875	0.90375	0.8775	0.8475	0.66	0.9025	0.925	0.86875	0.77125	0.89875	0.74875	0.7775	0.68875	0.86375	0.8175	0.81125	0.76375	0.73125	0.71375	0.96875	0.90375	0.8775	0.8475	0.66	0.9025	0.925	0.86875	0.77125	0.89875	0.74875
0.5 to 1.5	0.725555555555556	0.835555555555556	0.893333333333333	0.717777777777778	0.747777777777778	0.785555555555556	0.807777777777778	0.818888888888889	0.938888888888889	0.823333333333333	0.817777777777778	0.763333333333333	0.767777777777778	0.972222222222222	0.911111111111111	0.887777777777778	0.861111111111111	0.693333333333333	0.913333333333333	0.914444444444444	0.873333333333333	0.82	0.854444444444444	0.707777777777778	0.827777777777778	0.726666666666667	0.876666666666667	0.794444444444444	0.823333333333333	0.817777777777778	0.763333333333333	0.767777777777778	0.972222222222222	0.911111111111111	0.887777777777778	0.861111111111111	0.693333333333333	0.913333333333333	0.914444444444444	0.873333333333333	0.82	0.854444444444444	0.707777777777778	0.827777777777778	0.726666666666667	0.876666666666667	0.794444444444444	0.823333333333333	0.817777777777778	0.763333333333333	0.767777777777778	0.972222222222222	0.911111111111111	0.887777777777778	0.861111111111111	0.693333333333333	0.913333333333333	0.914444444444444	0.873333333333333	0.82	0.854444444444444	0.707777777777778	0.827777777777778	0.726666666666667	0.876666666666667	0.794444444444444	0.823333333333333	0.817777777777778	0.763333333333333	0.767777777777778	0.972222222222222	0.911111111111111	0.887777777777778	0.861111111111111	0.693333333333333	0.913333333333333	0.914444444444444	0.873333333333333	0.82	0.854444444444444	0.707777777777778	0.827777777777778	0.726666666666667	0.876666666666667	0.794444444444444	0.823333333333333	0.817777777777778	0.763333333333333	0.767777777777778	0.972222222222222	0.911111111111111	0.887777777777778	0.861111111111111	0.693333333333333	0.913333333333333	0.914444444444444	0.873333333333333	0.82	0.854444444444444	0.707777777777778
0.6 to 1.6	0.695238095238095	0.794285714285714	0.905714285714286	0.755238095238095	0.701904761904762	0.813333333333333	0.793333333333333	0.768571428571429	0.903809523809524	0.841904761904762	0.815238095238095	0.788571428571429	0.717142857142857	0.974285714285714	0.892380952380952	0.885714285714286	0.835238095238095	0.737142857142857	0.918095238095238	0.859047619047619	0.81047619047619	0.808571428571429	0.865714285714286	0.716190476190476	0.839047619047619	0.746666666666667	0.864761904761905	0.76	0.841904761904762	0.815238095238095	0.788571428571429	0.717142857142857	0.974285714285714	0.892380952380952	0.885714285714286	0.835238095238095	0.737142857142857	0.918095238095238	0.859047619047619	0.81047619047619	0.808571428571429	0.865714285714286	0.716190476190476	0.839047619047619	0.746666666666667	0.864761904761905	0.76	0.841904761904762	0.815238095238095	0.788571428571429	0.717142857142857	0.974285714285714	0.892380952380952	0.885714285714286	0.835238095238095	0.737142857142857	0.918095238095238	0.859047619047619	0.81047619047619	0.808571428571429	0.865714285714286	0.716190476190476	0.839047619047619	0.746666666666667	0.864761904761905	0.76	0.841904761904762	0.815238095238095	0.788571428571429	0.717142857142857	0.974285714285714	0.892380952380952	0.885714285714286	0.835238095238095	0.737142857142857	0.918095238095238	0.859047619047619	0.81047619047619	0.808571428571429	0.865714285714286	0.716190476190476	0.839047619047619	0.746666666666667	0.864761904761905	0.76	0.841904761904762	0.815238095238095	0.788571428571429	0.717142857142857	0.974285714285714	0.892380952380952	0.885714285714286	0.835238095238095	0.737142857142857	0.918095238095238	0.859047619047619	0.81047619047619	0.808571428571429	0.865714285714286	0.716190476190476
0.7 to 1.7	0.736521739130435	0.802608695652174	0.885217391304348	0.749565217391304	0.783478260869565	0.835652173913043	0.804347826086957	0.77304347826087	0.899130434782609	0.911304347826087	0.847826086956522	0.789565217391304	0.741739130434783	0.966086956521739	0.898260869565217	0.892173913043478	0.826086956521739	0.796521739130435	0.909565217391304	0.854782608695652	0.801739130434783	0.772173913043478	0.877391304347826	0.736521739130435	0.850434782608696	0.787826086956522	0.876521739130435	0.783478260869565	0.911304347826087	0.847826086956522	0.789565217391304	0.741739130434783	0.966086956521739	0.898260869565217	0.892173913043478	0.826086956521739	0.796521739130435	0.909565217391304	0.854782608695652	0.801739130434783	0.772173913043478	0.877391304347826	0.736521739130435	0.850434782608696	0.787826086956522	0.876521739130435	0.783478260869565	0.911304347826087	0.847826086956522	0.789565217391304	0.741739130434783	0.966086956521739	0.898260869565217	0.892173913043478	0.826086956521739	0.796521739130435	0.909565217391304	0.854782608695652	0.801739130434783	0.772173913043478	0.877391304347826	0.736521739130435	0.850434782608696	0.787826086956522	0.876521739130435	0.783478260869565	0.911304347826087	0.847826086956522	0.789565217391304	0.741739130434783	0.966086956521739	0.898260869565217	0.892173913043478	0.826086956521739	0.796521739130435	0.909565217391304	0.854782608695652	0.801739130434783	0.772173913043478	0.877391304347826	0.736521739130435	0.850434782608696	0.787826086956522	0.876521739130435	0.783478260869565	0.911304347826087	0.847826086956522	0.789565217391304	0.741739130434783	0.966086956521739	0.898260869565217	0.892173913043478	0.826086956521739	0.796521739130435	0.909565217391304	0.854782608695652	0.801739130434783	0.772173913043478	0.877391304347826	0.736521739130435
0.8 to 1.8	0.747619047619048	0.742857142857143	0.896190476190476	0.755238095238095	0.783809523809524	0.869523809523809	0.773333333333333	0.775238095238095	0.889523809523809	0.897142857142857	0.833333333333333	0.752380952380952	0.716190476190476	0.964761904761905	0.889523809523809	0.868571428571429	0.803809523809524	0.807619047619048	0.905714285714286	0.841904761904762	0.755238095238095	0.77047619047619	0.86	0.763809523809524	0.88	0.799047619047619	0.857142857142857	0.769523809523809	0.897142857142857	0.833333333333333	0.752380952380952	0.716190476190476	0.964761904761905	0.889523809523809	0.868571428571429	0.803809523809524	0.807619047619048	0.905714285714286	0.841904761904762	0.755238095238095	0.77047619047619	0.86	0.763809523809524	0.88	0.799047619047619	0.857142857142857	0.769523809523809	0.897142857142857	0.833333333333333	0.752380952380952	0.716190476190476	0.964761904761905	0.889523809523809	0.868571428571429	0.803809523809524	0.807619047619048	0.905714285714286	0.841904761904762	0.755238095238095	0.77047619047619	0.86	0.763809523809524	0.88	0.799047619047619	0.857142857142857	0.769523809523809	0.897142857142857	0.833333333333333	0.752380952380952	0.716190476190476	0.964761904761905	0.889523809523809	0.868571428571429	0.803809523809524	0.807619047619048	0.905714285714286	0.841904761904762	0.755238095238095	0.77047619047619	0.86	0.763809523809524	0.88	0.799047619047619	0.857142857142857	0.769523809523809	0.897142857142857	0.833333333333333	0.752380952380952	0.716190476190476	0.964761904761905	0.889523809523809	0.868571428571429	0.803809523809524	0.807619047619048	0.905714285714286	0.841904761904762	0.755238095238095	0.77047619047619	0.86	0.763809523809524
0.9 to 1.9	0.759090909090909	0.754545454545455	0.9	0.735454545454545	0.793636363636364	0.873636363636364	0.742727272727273	0.782727272727273	0.891818181818182	0.869090909090909	0.84	0.721818181818182	0.697272727272727	0.966363636363636	0.891818181818182	0.856363636363636	0.808181818181818	0.816363636363636	0.91	0.849090909090909	0.762727272727273	0.780909090909091	0.827272727272727	0.774545454545455	0.849090909090909	0.802727272727273	0.863636363636364	0.748181818181818	0.869090909090909	0.84	0.721818181818182	0.697272727272727	0.966363636363636	0.891818181818182	0.856363636363636	0.808181818181818	0.816363636363636	0.91	0.849090909090909	0.762727272727273	0.780909090909091	0.827272727272727	0.774545454545455	0.849090909090909	0.802727272727273	0.863636363636364	0.748181818181818	0.869090909090909	0.84	0.721818181818182	0.697272727272727	0.966363636363636	0.891818181818182	0.856363636363636	0.808181818181818	0.816363636363636	0.91	0.849090909090909	0.762727272727273	0.780909090909091	0.827272727272727	0.774545454545455	0.849090909090909	0.802727272727273	0.863636363636364	0.748181818181818	0.869090909090909	0.84	0.721818181818182	0.697272727272727	0.966363636363636	0.891818181818182	0.856363636363636	0.808181818181818	0.816363636363636	0.91	0.849090909090909	0.762727272727273	0.780909090909091	0.827272727272727	0.774545454545455	0.849090909090909	0.802727272727273	0.863636363636364	0.748181818181818	0.869090909090909	0.84	0.721818181818182	0.697272727272727	0.966363636363636	0.891818181818182	0.856363636363636	0.808181818181818	0.816363636363636	0.91	0.849090909090909	0.762727272727273	0.780909090909091	0.827272727272727	0.774545454545455
