1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
-0.5 to 0.5	0.75	0.74	0.98	0.445	0.25	0.49	0.66	0.97	0.475	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655	0.45	0.485	0.74	0.97	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655	0.45	0.485	0.74	0.97	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655	0.45	0.485	0.74	0.97	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655	0.45	0.485	0.74	0.97	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655
-0.4 to 0.6	0.75	0.74	0.98	0.445	0.25	0.49	0.66	0.97	0.475	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655	0.45	0.485	0.74	0.97	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655	0.45	0.485	0.74	0.97	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655	0.45	0.485	0.74	0.97	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655	0.45	0.485	0.74	0.97	0.445	0.445	0.41	0.5	0.74	0.985	0.36	0.5	0.75	0.725	0.62	0.47	0.365	0.75	0.655
-0.3 to 0.7	0.5	0.82	0.816666666666667	0.6	0.166666666666667	0.493333333333333	0.54	0.96	0.65	0.296666666666667	0.453333333333333	0.593333333333333	0.5	0.82	0.98	0.573333333333333	0.5	0.5	0.81	0.733333333333333	0.643333333333333	0.576666666666667	0.806666666666667	0.663333333333333	0.46	0.49	0.653333333333333	0.936666666666667	0.296666666666667	0.453333333333333	0.593333333333333	0.5	0.82	0.98	0.573333333333333	0.5	0.5	0.81	0.733333333333333	0.643333333333333	0.576666666666667	0.806666666666667	0.663333333333333	0.46	0.49	0.653333333333333	0.936666666666667	0.296666666666667	0.453333333333333	0.593333333333333	0.5	0.82	0.98	0.573333333333333	0.5	0.5	0.81	0.733333333333333	0.643333333333333	0.576666666666667	0.806666666666667	0.663333333333333	0.46	0.49	0.653333333333333	0.936666666666667	0.296666666666667	0.453333333333333	0.593333333333333	0.5	0.82	0.98	0.573333333333333	0.5	0.5	0.81	0.733333333333333	0.643333333333333	0.576666666666667	0.806666666666667	0.663333333333333	0.46	0.49	0.653333333333333	0.936666666666667	0.296666666666667	0.453333333333333	0.593333333333333	0.5	0.82	0.98	0.573333333333333	0.5	0.5	0.81	0.733333333333333	0.643333333333333	0.576666666666667	0.806666666666667	0.663333333333333
-0.2 to 0.8	0.437777777777778	0.875555555555556	0.697777777777778	0.613333333333333	0.26	0.435555555555556	0.653333333333333	0.835555555555556	0.751111111111111	0.5	0.508888888888889	0.606666666666667	0.54	0.768888888888889	0.968888888888889	0.671111111111111	0.635555555555556	0.444444444444444	0.751111111111111	0.802222222222222	0.746666666666667	0.593333333333333	0.864444444444444	0.442222222222222	0.408888888888889	0.548888888888889	0.64	0.828888888888889	0.5	0.508888888888889	0.606666666666667	0.54	0.768888888888889	0.968888888888889	0.671111111111111	0.635555555555556	0.444444444444444	0.751111111111111	0.802222222222222	0.746666666666667	0.593333333333333	0.864444444444444	0.442222222222222	0.408888888888889	0.548888888888889	0.64	0.828888888888889	0.5	0.508888888888889	0.606666666666667	0.54	0.768888888888889	0.968888888888889	0.671111111111111	0.635555555555556	0.444444444444444	0.751111111111111	0.802222222222222	0.746666666666667	0.593333333333333	0.864444444444444	0.442222222222222	0.408888888888889	0.548888888888889	0.64	0.828888888888889	0.5	0.508888888888889	0.606666666666667	0.54	0.768888888888889	0.968888888888889	0.671111111111111	0.635555555555556	0.444444444444444	0.751111111111111	0.802222222222222	0.746666666666667	0.593333333333333	0.864444444444444	0.442222222222222	0.408888888888889	0.548888888888889	0.64	0.828888888888889	0.5	0.508888888888889	0.606666666666667	0.54	0.768888888888889	0.968888888888889	0.671111111111111	0.635555555555556	0.444444444444444	0.751111111111111	0.802222222222222	0.746666666666667	0.593333333333333	0.864444444444444	0.442222222222222
-0.1 to 0.9	0.3675	0.8625	0.66	0.69	0.1675	0.365	0.735	0.815	0.845	0.5625	0.5725	0.6825	0.4825	0.74	0.965	0.755	0.59	0.375	0.72	0.9025	0.84	0.555	0.8475	0.4975	0.46	0.4925	0.6	0.815	0.5625	0.5725	0.6825	0.4825	0.74	0.965	0.755	0.59	0.375	0.72	0.9025	0.84	0.555	0.8475	0.4975	0.46	0.4925	0.6	0.815	0.5625	0.5725	0.6825	0.4825	0.74	0.965	0.755	0.59	0.375	0.72	0.9025	0.84	0.555	0.8475	0.4975	0.46	0.4925	0.6	0.815	0.5625	0.5725	0.6825	0.4825	0.74	0.965	0.755	0.59	0.375	0.72	0.9025	0.84	0.555	0.8475	0.4975	0.46	0.4925	0.6	0.815	0.5625	0.5725	0.6825	0.4825	0.74	0.965	0.755	0.59	0.375	0.72	0.9025	0.84	0.555	0.8475	0.4975
0 to 1	0.484	0.69	0.624	0.552	0.304	0.392	0.778	0.842	0.862	0.634	0.558	0.638	0.572	0.792	0.87	0.604	0.666	0.394	0.672	0.922	0.818	0.614	0.858	0.498	0.45	0.394	0.578	0.744	0.634	0.558	0.638	0.572	0.792	0.87	0.604	0.666	0.394	0.672	0.922	0.818	0.614	0.858	0.498	0.45	0.394	0.578	0.744	0.634	0.558	0.638	0.572	0.792	0.87	0.604	0.666	0.394	0.672	0.922	0.818	0.614	0.858	0.498	0.45	0.394	0.578	0.744	0.634	0.558	0.638	0.572	0.792	0.87	0.604	0.666	0.394	0.672	0.922	0.818	0.614	0.858	0.498	0.45	0.394	0.578	0.744	0.634	0.558	0.638	0.572	0.792	0.87	0.604	0.666	0.394	0.672	0.922	0.818	0.614	0.858	0.498
0.1 to 1.1	0.503076923076923	0.606153846153846	0.704615384615385	0.52	0.366153846153846	0.524615384615385	0.692307692307692	0.8	0.813846153846154	0.636923076923077	0.512307692307692	0.556923076923077	0.516923076923077	0.813846153846154	0.801538461538462	0.695384615384615	0.666153846153846	0.449230769230769	0.723076923076923	0.829230769230769	0.773846153846154	0.727692307692308	0.869230769230769	0.515384615384615	0.455384615384615	0.490769230769231	0.512307692307692	0.710769230769231	0.636923076923077	0.512307692307692	0.556923076923077	0.516923076923077	0.813846153846154	0.801538461538462	0.695384615384615	0.666153846153846	0.449230769230769	0.723076923076923	0.829230769230769	0.773846153846154	0.727692307692308	0.869230769230769	0.515384615384615	0.455384615384615	0.490769230769231	0.512307692307692	0.710769230769231	0.636923076923077	0.512307692307692	0.556923076923077	0.516923076923077	0.813846153846154	0.801538461538462	0.695384615384615	0.666153846153846	0.449230769230769	0.723076923076923	0.829230769230769	0.773846153846154	0.727692307692308	0.869230769230769	0.515384615384615	0.455384615384615	0.490769230769231	0.512307692307692	0.710769230769231	0.636923076923077	0.512307692307692	0.556923076923077	0.516923076923077	0.813846153846154	0.801538461538462	0.695384615384615	0.666153846153846	0.449230769230769	0.723076923076923	0.829230769230769	0.773846153846154	0.727692307692308	0.869230769230769	0.515384615384615	0.455384615384615	0.490769230769231	0.512307692307692	0.710769230769231	0.636923076923077	0.512307692307692	0.556923076923077	0.516923076923077	0.813846153846154	0.801538461538462	0.695384615384615	0.666153846153846	0.449230769230769	0.723076923076923	0.829230769230769	0.773846153846154	0.727692307692308	0.869230769230769	0.515384615384615
0.2 to 1.2	0.53	0.6175	0.7375	0.485	0.45	0.605	0.75	0.76125	0.78125	0.5175	0.58625	0.515	0.58	0.84	0.755	0.7025	0.72375	0.4825	0.705	0.79375	0.68125	0.7025	0.795	0.52875	0.54875	0.52375	0.52625	0.69	0.5175	0.58625	0.515	0.58	0.84	0.755	0.7025	0.72375	0.4825	0.705	0.79375	0.68125	0.7025	0.795	0.52875	0.54875	0.52375	0.52625	0.69	0.5175	0.58625	0.515	0.58	0.84	0.755	0.7025	0.72375	0.4825	0.705	0.79375	0.68125	0.7025	0.795	0.52875	0.54875	0.52375	0.52625	0.69	0.5175	0.58625	0.515	0.58	0.84	0.755	0.7025	0.72375	0.4825	0.705	0.79375	0.68125	0.7025	0.795	0.52875	0.54875	0.52375	0.52625	0.69	0.5175	0.58625	0.515	0.58	0.84	0.755	0.7025	0.72375	0.4825	0.705	0.79375	0.68125	0.7025	0.795	0.52875
0.3 to 1.3	0.498823529411765	0.632941176470588	0.749411764705882	0.508235294117647	0.48	0.569411764705882	0.762352941176471	0.716470588235294	0.735294117647059	0.536470588235294	0.565882352941177	0.484705882352941	0.545882352941176	0.842352941176471	0.763529411764706	0.661176470588235	0.74	0.454117647058824	0.663529411764706	0.792941176470588	0.698823529411765	0.661176470588235	0.802352941176471	0.497647058823529	0.572941176470588	0.523529411764706	0.544705882352941	0.705882352941177	0.536470588235294	0.565882352941177	0.484705882352941	0.545882352941176	0.842352941176471	0.763529411764706	0.661176470588235	0.74	0.454117647058824	0.663529411764706	0.792941176470588	0.698823529411765	0.661176470588235	0.802352941176471	0.497647058823529	0.572941176470588	0.523529411764706	0.544705882352941	0.705882352941177	0.536470588235294	0.565882352941177	0.484705882352941	0.545882352941176	0.842352941176471	0.763529411764706	0.661176470588235	0.74	0.454117647058824	0.663529411764706	0.792941176470588	0.698823529411765	0.661176470588235	0.802352941176471	0.497647058823529	0.572941176470588	0.523529411764706	0.544705882352941	0.705882352941177	0.536470588235294	0.565882352941177	0.484705882352941	0.545882352941176	0.842352941176471	0.763529411764706	0.661176470588235	0.74	0.454117647058824	0.663529411764706	0.792941176470588	0.698823529411765	0.661176470588235	0.802352941176471	0.497647058823529	0.572941176470588	0.523529411764706	0.544705882352941	0.705882352941177	0.536470588235294	0.565882352941177	0.484705882352941	0.545882352941176	0.842352941176471	0.763529411764706	0.661176470588235	0.74	0.454117647058824	0.663529411764706	0.792941176470588	0.698823529411765	0.661176470588235	0.802352941176471	0.497647058823529
0.4 to 1.4	0.4675	0.6725	0.73375	0.48	0.51	0.605	0.75125	0.7025	0.71875	0.57	0.54125	0.45625	0.5175	0.835	0.7525	0.64	0.78625	0.42	0.64875	0.8	0.7425	0.7025	0.79	0.47	0.54625	0.4975	0.57875	0.69125	0.57	0.54125	0.45625	0.5175	0.835	0.7525	0.64	0.78625	0.42	0.64875	0.8	0.7425	0.7025	0.79	0.47	0.54625	0.4975	0.57875	0.69125	0.57	0.54125	0.45625	0.5175	0.835	0.7525	0.64	0.78625	0.42	0.64875	0.8	0.7425	0.7025	0.79	0.47	0.54625	0.4975	0.57875	0.69125	0.57	0.54125	0.45625	0.5175	0.835	0.7525	0.64	0.78625	0.42	0.64875	0.8	0.7425	0.7025	0.79	0.47	0.54625	0.4975	0.57875	0.69125	0.57	0.54125	0.45625	0.5175	0.835	0.7525	0.64	0.78625	0.42	0.64875	0.8	0.7425	0.7025	0.79	0.47
