1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
-0.5 to 0.5	0	98	68	63	0	11	73	102	12	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83	33	27	46	82	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83	33	27	46	82	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83	33	27	46	82	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83	33	27	46	82	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83
-0.4 to 0.6	0	98	68	63	0	11	73	102	12	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83	33	27	46	82	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83	33	27	46	82	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83	33	27	46	82	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83	33	27	46	82	54	46	69	33	31	22	21	0	0	81	75	49	51	0	83
-0.3 to 0.7	0	112	82	110	0	11	97	137	32	54	80	109	33	61	34	21	0	0	113	93	85	51	58	131	44	27	55	104	54	80	109	33	61	34	21	0	0	113	93	85	51	58	131	44	27	55	104	54	80	109	33	61	34	21	0	0	113	93	85	51	58	131	44	27	55	104	54	80	109	33	61	34	21	0	0	113	93	85	51	58	131	44	27	55	104	54	80	109	33	61	34	21	0	0	113	93	85	51	58	131
-0.2 to 0.8	35	187	101	186	17	58	202	224	74	133	139	152	104	75	129	142	120	0	145	167	164	116	104	131	82	27	141	192	133	139	152	104	75	129	142	120	0	145	167	164	116	104	131	82	27	141	192	133	139	152	104	75	129	142	120	0	145	167	164	116	104	131	82	27	141	192	133	139	152	104	75	129	142	120	0	145	167	164	116	104	131	82	27	141	192	133	139	152	104	75	129	142	120	0	145	167	164	116	104	131
-0.1 to 0.9	35	138	101	186	17	58	202	224	74	133	139	152	71	75	129	142	120	0	102	167	164	91	104	131	82	27	116	164	133	139	152	71	75	129	142	120	0	102	167	164	91	104	131	82	27	116	164	133	139	152	71	75	129	142	120	0	102	167	164	91	104	131	82	27	116	164	133	139	152	71	75	129	142	120	0	102	167	164	91	104	131	82	27	116	164	133	139	152	71	75	129	142	120	0	102	167	164	91	104	131
0 to 1	58	138	120	186	69	58	215	254	124	170	139	170	87	75	137	142	143	6	130	167	186	147	131	131	111	27	138	199	170	139	170	87	75	137	142	143	6	130	167	186	147	131	131	111	27	138	199	170	139	170	87	75	137	142	143	6	130	167	186	147	131	131	111	27	138	199	170	139	170	87	75	137	142	143	6	130	167	186	147	131	131	111	27	138	199	170	139	170	87	75	137	142	143	6	130	167	186	147	131	131
0.1 to 1.1	97	106	171	197	91	84	231	235	159	179	165	184	87	107	208	163	143	48	208	181	189	159	199	171	136	91	139	249	179	165	184	87	107	208	163	143	48	208	181	189	159	199	171	136	91	139	249	179	165	184	87	107	208	163	143	48	208	181	189	159	199	171	136	91	139	249	179	165	184	87	107	208	163	143	48	208	181	189	159	199	171	136	91	139	249	179	165	184	87	107	208	163	143	48	208	181	189	159	199	171
0.2 to 1.2	137	106	197	197	159	140	231	294	199	179	238	213	137	157	241	215	167	101	249	227	229	219	246	239	177	91	207	275	179	238	213	137	157	241	215	167	101	249	227	229	219	246	239	177	91	207	275	179	238	213	137	157	241	215	167	101	249	227	229	219	246	239	177	91	207	275	179	238	213	137	157	241	215	167	101	249	227	229	219	246	239	177	91	207	275	179	238	213	137	157	241	215	167	101	249	227	229	219	246	239
0.3 to 1.3	137	127	220	241	193	140	272	294	199	221	250	213	137	191	286	215	167	101	249	262	247	219	278	239	203	112	246	293	221	250	213	137	191	286	215	167	101	249	262	247	219	278	239	203	112	246	293	221	250	213	137	191	286	215	167	101	249	262	247	219	278	239	203	112	246	293	221	250	213	137	191	286	215	167	101	249	262	247	219	278	239	203	112	246	293	221	250	213	137	191	286	215	167	101	249	262	247	219	278	239
0.4 to 1.4	137	127	175	212	193	140	226	256	199	221	219	167	137	160	264	215	167	101	226	233	247	219	278	194	203	85	246	260	221	219	167	137	160	264	215	167	101	226	233	247	219	278	194	203	85	246	260	221	219	167	137	160	264	215	167	101	226	233	247	219	278	194	203	85	246	260	221	219	167	137	160	264	215	167	101	226	233	247	219	278	194	203	85	246	260	221	219	167	137	160	264	215	167	101	226	233	247	219	278	194
