1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
-0.5 to 0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.4 to 0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.3 to 0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2 to 0.8	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
-0.1 to 0.9	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
0 to 1	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
0.1 to 1.1	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
0.2 to 1.2	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
0.3 to 1.3	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
0.4 to 1.4	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
0.5 to 1.5	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
0.6 to 1.6	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
0.7 to 1.7	1	1	1	0.96	0.08	1	0.98	1	0.26	0.3	1	0.98	0.96	1	1	0.04	1	0.2	0.56	0.18	0.96	1	1	1	0.28	1	0.5	1	1	1	1	1	0.42	1	0.98	0.14	1	1	0.16	1	1	1	1	0.98	0.98	0.2	1	1	1	0.98	1	0.52	0.16	1	0.98	0.98	1	1	0.22	0.24	1	1	0.26	1	1	0.14	1	1	0.38	0.48	1	1	1	0.46	0.16	0.4	1	0.9	1	1	1	1	0.98	1	1	0.34	1	0.14	0.94	0.14	1	1	1	1	1	1	0.14	1	0.34	1
0.8 to 1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.9 to 1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 to 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1 to 2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2 to 2.2	1	1	0.96	0.98	0.96	0.22	1	0.14	0.12	1	1	0.04	1	1	1	1	1	0.98	1	1	1	1	1	0.18	1	0.38	1	0.98	0.38	0.94	1	1	1	1	0.76	0.16	0.96	0.96	0.2	0.22	1	1	0.16	0.06	0.96	0.38	0.98	1	0.3	1	1	0.34	1	0.94	0.1	1	1	0.56	0.32	1	1	0.94	0.98	0.04	1	1	1	1	1	0.98	0.92	0.16	0.24	0.98	0.98	0.98	1	1	1	1	1	1	1	0.22	1	1	1	1	0.98	0.38	1	0.98	0.96	0.2	0.94	0.1	1	0.6	0.16	1
1.3 to 2.3	1	1	0.96	0.98	0.96	0.22	1	0.14	0.12	1	1	0.04	1	1	1	1	1	0.98	1	1	1	1	1	0.18	1	0.38	1	0.98	0.38	0.94	1	1	1	1	0.76	0.16	0.96	0.96	0.2	0.22	1	1	0.16	0.06	0.96	0.38	0.98	1	0.3	1	1	0.34	1	0.94	0.1	1	1	0.56	0.32	1	1	0.94	0.98	0.04	1	1	1	1	1	0.98	0.92	0.16	0.24	0.98	0.98	0.98	1	1	1	1	1	1	1	0.22	1	1	1	1	0.98	0.38	1	0.98	0.96	0.2	0.94	0.1	1	0.6	0.16	1
1.4 to 2.4	0.99	1	0.56	0.93	0.98	0.61	1	0.57	0.56	1	0.63	0.52	1	0.97	1	0.53	1	0.99	1	1	0.64	1	0.62	0.53	1	0.26	0.58	0.99	0.69	0.97	1	1	0.99	1	0.88	0.16	0.52	0.98	0.6	0.61	0.59	1	0.58	0.09	0.98	0.69	0.64	1	0.65	1	1	0.67	1	0.65	0.55	0.99	1	0.78	0.24	1	1	0.87	0.99	0.06	1	0.98	1	0.96	1	0.99	0.59	0.58	0.62	0.97	0.99	0.98	1	0.54	0.99	1	1	1	1	0.61	0.54	1	1	0.97	0.99	0.27	0.58	0.99	0.98	0.6	0.52	0.55	0.98	0.35	0.58	1
1.5 to 2.5	0.99	1	0.56	0.93	0.98	0.61	1	0.57	0.56	1	0.63	0.52	1	0.97	1	0.53	1	0.99	1	1	0.64	1	0.62	0.53	1	0.26	0.58	0.99	0.69	0.97	1	1	0.99	1	0.88	0.16	0.52	0.98	0.6	0.61	0.59	1	0.58	0.09	0.98	0.69	0.64	1	0.65	1	1	0.67	1	0.65	0.55	0.99	1	0.78	0.24	1	1	0.87	0.99	0.06	1	0.98	1	0.96	1	0.99	0.59	0.58	0.62	0.97	0.99	0.98	1	0.54	0.99	1	1	1	1	0.61	0.54	1	1	0.97	0.99	0.27	0.58	0.99	0.98	0.6	0.52	0.55	0.98	0.35	0.58	1
1.6 to 2.6	0.99	1	0.56	0.93	0.98	0.61	1	0.57	0.56	1	0.63	0.52	1	0.97	1	0.53	1	0.99	1	1	0.64	1	0.62	0.53	1	0.26	0.58	0.99	0.69	0.97	1	1	0.99	1	0.88	0.16	0.52	0.98	0.6	0.61	0.59	1	0.58	0.09	0.98	0.69	0.64	1	0.65	1	1	0.67	1	0.65	0.55	0.99	1	0.78	0.24	1	1	0.87	0.99	0.06	1	0.98	1	0.96	1	0.99	0.59	0.58	0.62	0.97	0.99	0.98	1	0.54	0.99	1	1	1	1	0.61	0.54	1	1	0.97	0.99	0.27	0.58	0.99	0.98	0.6	0.52	0.55	0.98	0.35	0.58	1
1.7 to 2.7	0.99	1	0.56	0.93	0.98	0.61	1	0.57	0.56	1	0.63	0.52	1	0.97	1	0.53	1	0.99	1	1	0.64	1	0.62	0.53	1	0.26	0.58	0.99	0.69	0.97	1	1	0.99	1	0.88	0.16	0.52	0.98	0.6	0.61	0.59	1	0.58	0.09	0.98	0.69	0.64	1	0.65	1	1	0.67	1	0.65	0.55	0.99	1	0.78	0.24	1	1	0.87	0.99	0.06	1	0.98	1	0.96	1	0.99	0.59	0.58	0.62	0.97	0.99	0.98	1	0.54	0.99	1	1	1	1	0.61	0.54	1	1	0.97	0.99	0.27	0.58	0.99	0.98	0.6	0.52	0.55	0.98	0.35	0.58	1
1.8 to 2.8	0.99	1	0.56	0.93	0.98	0.61	1	0.57	0.56	1	0.63	0.52	1	0.97	1	0.53	1	0.99	1	1	0.64	1	0.62	0.53	1	0.26	0.58	0.99	0.69	0.97	1	1	0.99	1	0.88	0.16	0.52	0.98	0.6	0.61	0.59	1	0.58	0.09	0.98	0.69	0.64	1	0.65	1	1	0.67	1	0.65	0.55	0.99	1	0.78	0.24	1	1	0.87	0.99	0.06	1	0.98	1	0.96	1	0.99	0.59	0.58	0.62	0.97	0.99	0.98	1	0.54	0.99	1	1	1	1	0.61	0.54	1	1	0.97	0.99	0.27	0.58	0.99	0.98	0.6	0.52	0.55	0.98	0.35	0.58	1
1.9 to 2.9	0.99	1	0.56	0.93	0.98	0.61	1	0.57	0.56	1	0.63	0.52	1	0.97	1	0.53	1	0.99	1	1	0.64	1	0.62	0.53	1	0.26	0.58	0.99	0.69	0.97	1	1	0.99	1	0.88	0.16	0.52	0.98	0.6	0.61	0.59	1	0.58	0.09	0.98	0.69	0.64	1	0.65	1	1	0.67	1	0.65	0.55	0.99	1	0.78	0.24	1	1	0.87	0.99	0.06	1	0.98	1	0.96	1	0.99	0.59	0.58	0.62	0.97	0.99	0.98	1	0.54	0.99	1	1	1	1	0.61	0.54	1	1	0.97	0.99	0.27	0.58	0.99	0.98	0.6	0.52	0.55	0.98	0.35	0.58	1
2 to 3	0.99	1	0.56	0.93	0.98	0.61	1	0.57	0.56	1	0.63	0.52	1	0.97	1	0.53	1	0.99	1	1	0.64	1	0.62	0.53	1	0.26	0.58	0.99	0.69	0.97	1	1	0.99	1	0.88	0.16	0.52	0.98	0.6	0.61	0.59	1	0.58	0.09	0.98	0.69	0.64	1	0.65	1	1	0.67	1	0.65	0.55	0.99	1	0.78	0.24	1	1	0.87	0.99	0.06	1	0.98	1	0.96	1	0.99	0.59	0.58	0.62	0.97	0.99	0.98	1	0.54	0.99	1	1	1	1	0.61	0.54	1	1	0.97	0.99	0.27	0.58	0.99	0.98	0.6	0.52	0.55	0.98	0.35	0.58	1
2.1 to 3.1	0.99	1	0.56	0.93	0.98	0.61	1	0.57	0.56	1	0.63	0.52	1	0.97	1	0.53	1	0.99	1	1	0.64	1	0.62	0.53	1	0.26	0.58	0.99	0.69	0.97	1	1	0.99	1	0.88	0.16	0.52	0.98	0.6	0.61	0.59	1	0.58	0.09	0.98	0.69	0.64	1	0.65	1	1	0.67	1	0.65	0.55	0.99	1	0.78	0.24	1	1	0.87	0.99	0.06	1	0.98	1	0.96	1	0.99	0.59	0.58	0.62	0.97	0.99	0.98	1	0.54	0.99	1	1	1	1	0.61	0.54	1	1	0.97	0.99	0.27	0.58	0.99	0.98	0.6	0.52	0.55	0.98	0.35	0.58	1
2.2 to 3.2	0.98	1	0.16	0.88	1	1	1	1	1	1	0.26	1	1	0.94	1	0.06	1	1	1	1	0.28	1	0.24	0.88	1	0.14	0.16	1	1	1	1	1	0.98	1	1	0.16	0.08	1	1	1	0.18	1	1	0.12	1	1	0.3	1	1	1	1	1	1	0.36	1	0.98	1	1	0.16	1	1	0.8	1	0.08	1	0.96	1	0.92	1	1	0.26	1	1	0.96	1	0.98	1	0.08	0.98	1	1	1	1	1	0.08	1	1	0.94	1	0.16	0.16	1	1	1	0.1	1	0.96	0.1	1	1
2.3 to 3.3	0.98	1	0.16	0.88	1	1	1	1	1	1	0.26	1	1	0.94	1	0.06	1	1	1	1	0.28	1	0.24	0.88	1	0.14	0.16	1	1	1	1	1	0.98	1	1	0.16	0.08	1	1	1	0.18	1	1	0.12	1	1	0.3	1	1	1	1	1	1	0.36	1	0.98	1	1	0.16	1	1	0.8	1	0.08	1	0.96	1	0.92	1	1	0.26	1	1	0.96	1	0.98	1	0.08	0.98	1	1	1	1	1	0.08	1	1	0.94	1	0.16	0.16	1	1	1	0.1	1	0.96	0.1	1	1
2.4 to 3.4	1	1	0.96	0.92	1	1	1	0.1	0.08	0.96	0.96	1	1	0.1	1	1	0.4	0.02	1	1	1	0.12	0.04	1	1	1	0.98	0.1	0.92	0.12	1	1	1	1	1	0.04	0.08	0.04	1	0.96	0.96	0.08	1	0.96	0.06	1	1	0.06	0.98	1	0.06	0.98	0.08	1	0.88	0.96	0.06	1	1	1	1	1	1	0.04	1	1	0.04	0.02	1	1	0.26	0.1	0.02	0.96	0.06	0.98	1	1	1	1	1	1	1	1	1	1	0.12	1	1	0	0.1	1	1	0.9	1	1	1	0.98	1	0.14
