1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
-0.5 to 0.5	1	0.52	0.98	0.59	0.63	1	1	1	0.62	1	1	0.58	1	0.98	1	0.87	0.59	0.54	0.98	0.59	0.99	0.58	1	1	0.59	1	0.18	0.58	1	0.61	1	1	0.99	1	0.34	0.25	1	1	0.3	0.4	0.57	0.52	0.1	0.16	0.19	0.61	0.68	0.17	0.98	1	1	0.71	0.8	0.84	0.7	0.8	0.61	0.6	1	0.6	1	0.59	1	1	1	0.65	0.58	0.98	1	0.63	0.92	0.69	1	0.13	1	0.97	1	1	0.56	1	0.99	0.68	0.75	0.8	1	0.15	0.76	1	0.98	1	0.55	1	0.3	0.99	0.87	1	0.99	0.57	1	0.73
-0.4 to 0.6	1	0.52	0.98	0.59	0.63	1	1	1	0.62	1	1	0.58	1	0.98	1	0.87	0.59	0.54	0.98	0.59	0.99	0.58	1	1	0.59	1	0.18	0.58	1	0.61	1	1	0.99	1	0.34	0.25	1	1	0.3	0.4	0.57	0.52	0.1	0.16	0.19	0.61	0.68	0.17	0.98	1	1	0.71	0.8	0.84	0.7	0.8	0.61	0.6	1	0.6	1	0.59	1	1	1	0.65	0.58	0.98	1	0.63	0.92	0.69	1	0.13	1	0.97	1	1	0.56	1	0.99	0.68	0.75	0.8	1	0.15	0.76	1	0.98	1	0.55	1	0.3	0.99	0.87	1	0.99	0.57	1	0.73
-0.3 to 0.7	1	0.52	0.98	0.59	0.63	1	1	1	0.62	1	1	0.58	1	0.98	1	0.87	0.59	0.54	0.98	0.59	0.99	0.58	1	1	0.59	1	0.18	0.58	1	0.61	1	1	0.99	1	0.34	0.25	1	1	0.3	0.4	0.57	0.52	0.1	0.16	0.19	0.61	0.68	0.17	0.98	1	1	0.71	0.8	0.84	0.7	0.8	0.61	0.6	1	0.6	1	0.59	1	1	1	0.65	0.58	0.98	1	0.63	0.92	0.69	1	0.13	1	0.97	1	1	0.56	1	0.99	0.68	0.75	0.8	1	0.15	0.76	1	0.98	1	0.55	1	0.3	0.99	0.87	1	0.99	0.57	1	0.73
-0.2 to 0.8	1	0.68	0.726666666666667	0.5	0.573333333333333	1	0.82	1	0.746666666666667	1	0.8	0.706666666666667	0.993333333333333	0.986666666666667	0.98	0.913333333333333	0.726666666666667	0.693333333333333	0.953333333333333	0.72	0.866666666666667	0.72	0.986666666666667	0.726666666666667	0.493333333333333	0.713333333333333	0.446666666666667	0.72	0.74	0.74	0.793333333333333	0.726666666666667	0.993333333333333	0.793333333333333	0.286666666666667	0.24	1	1	0.533333333333333	0.6	0.54	0.68	0.126666666666667	0.166666666666667	0.166666666666667	0.74	0.533333333333333	0.446666666666667	0.98	0.76	0.913333333333333	0.806666666666667	0.686666666666667	0.88	0.8	0.866666666666667	0.74	0.726666666666667	0.846666666666667	0.726666666666667	1	0.726666666666667	0.993333333333333	1	1	0.533333333333333	0.72	0.986666666666667	1	0.74	0.946666666666667	0.793333333333333	1	0.4	1	0.973333333333333	1	0.74	0.68	1	0.993333333333333	0.786666666666667	0.56	0.606666666666667	1	0.433333333333333	0.82	1	0.72	1	0.426666666666667	0.713333333333333	0.533333333333333	0.986666666666667	0.706666666666667	0.753333333333333	0.74	0.706666666666667	1	0.8
-0.1 to 0.9	1	0.652	0.688	0.696	0.584	1	0.716	0.988	0.844	0.844	0.88	0.78	0.896	0.88	0.988	0.944	0.836	0.592	0.972	0.832	0.92	0.82	0.804	0.836	0.684	0.828	0.516	0.652	0.84	0.824	0.876	0.656	0.996	0.876	0.564	0.368	1	1	0.42	0.76	0.72	0.636	0.332	0.396	0.348	0.66	0.72	0.604	0.988	0.684	0.948	0.788	0.712	0.928	0.764	0.776	0.844	0.692	0.572	0.672	1	0.596	0.992	1	1	0.72	0.684	0.984	1	0.768	0.952	0.748	1	0.528	0.72	0.86	0.82	0.476	0.664	0.82	0.82	0.72	0.736	0.764	0.996	0.644	0.876	0.984	0.66	0.896	0.332	0.828	0.556	0.744	0.816	0.704	0.684	0.812	1	0.696
0 to 1	1	0.62	0.61	0.62	0.525	1	0.645	0.985	0.805	0.805	0.85	0.725	0.87	0.86	0.985	0.995	0.795	0.49	0.965	0.79	0.905	0.775	0.755	0.795	0.805	0.785	0.605	0.775	0.8	0.78	0.845	0.57	0.995	0.845	0.655	0.41	1	1	0.445	0.885	0.655	0.785	0.39	0.46	0.41	0.77	0.725	0.7	0.985	0.605	0.935	0.755	0.64	0.99	0.705	0.72	0.81	0.815	0.465	0.79	1	0.695	0.99	1	1	0.825	0.61	0.985	1	0.895	0.98	0.69	1	0.625	0.65	0.825	0.775	0.345	0.795	0.775	0.775	0.81	0.795	0.805	0.995	0.76	0.96	0.98	0.575	0.87	0.38	0.785	0.575	0.68	0.83	0.63	0.605	0.765	1	0.755
0.1 to 1.1	1	0.74	0.493333333333333	0.766666666666667	0.553333333333333	1	0.526666666666667	0.98	0.993333333333333	0.74	0.8	0.913333333333333	0.826666666666667	0.813333333333333	0.98	0.993333333333333	1	0.626666666666667	0.966666666666667	0.993333333333333	0.873333333333333	0.98	0.673333333333333	0.726666666666667	0.746666666666667	0.713333333333333	0.74	0.7	0.733333333333333	0.966666666666667	0.793333333333333	0.426666666666667	1	0.793333333333333	0.713333333333333	0.446666666666667	1	1	0.5	1	0.82	0.713333333333333	0.486666666666667	0.553333333333333	0.453333333333333	0.693333333333333	0.746666666666667	0.893333333333333	0.993333333333333	0.473333333333333	0.913333333333333	0.84	0.653333333333333	0.986666666666667	0.806666666666667	0.76	1	0.753333333333333	0.286666666666667	0.72	1	0.6	0.986666666666667	1	1	0.766666666666667	0.753333333333333	0.986666666666667	1	0.86	0.973333333333333	0.786666666666667	1	0.793333333333333	0.533333333333333	0.786666666666667	0.7	0.126666666666667	0.733333333333333	0.7	0.706666666666667	0.746666666666667	0.726666666666667	0.74	0.993333333333333	0.973333333333333	0.953333333333333	0.973333333333333	0.446666666666667	0.826666666666667	0.186666666666667	0.713333333333333	0.726666666666667	0.58	0.78	0.506666666666667	0.48	0.973333333333333	1	0.673333333333333
0.2 to 1.2	1	0.74	0.493333333333333	0.766666666666667	0.553333333333333	1	0.526666666666667	0.98	0.993333333333333	0.74	0.8	0.913333333333333	0.826666666666667	0.813333333333333	0.98	0.993333333333333	1	0.626666666666667	0.966666666666667	0.993333333333333	0.873333333333333	0.98	0.673333333333333	0.726666666666667	0.746666666666667	0.713333333333333	0.74	0.7	0.733333333333333	0.966666666666667	0.793333333333333	0.426666666666667	1	0.793333333333333	0.713333333333333	0.446666666666667	1	1	0.5	1	0.82	0.713333333333333	0.486666666666667	0.553333333333333	0.453333333333333	0.693333333333333	0.746666666666667	0.893333333333333	0.993333333333333	0.473333333333333	0.913333333333333	0.84	0.653333333333333	0.986666666666667	0.806666666666667	0.76	1	0.753333333333333	0.286666666666667	0.72	1	0.6	0.986666666666667	1	1	0.766666666666667	0.753333333333333	0.986666666666667	1	0.86	0.973333333333333	0.786666666666667	1	0.793333333333333	0.533333333333333	0.786666666666667	0.7	0.126666666666667	0.733333333333333	0.7	0.706666666666667	0.746666666666667	0.726666666666667	0.74	0.993333333333333	0.973333333333333	0.953333333333333	0.973333333333333	0.446666666666667	0.826666666666667	0.186666666666667	0.713333333333333	0.726666666666667	0.58	0.78	0.506666666666667	0.48	0.973333333333333	1	0.673333333333333
0.3 to 1.3	1	0.79	0.62	0.61	0.665	1	0.41	0.76	0.995	0.805	0.64	0.935	0.66	0.85	0.965	0.995	0.985	0.71	0.975	0.755	0.905	0.745	0.755	0.565	0.81	0.75	0.805	0.54	0.785	0.735	0.845	0.57	0.8	0.835	0.785	0.35	0.995	0.995	0.585	1	0.865	0.785	0.615	0.665	0.59	0.555	0.62	0.895	0.785	0.37	0.935	0.645	0.74	0.99	0.65	0.615	0.98	0.595	0.46	0.79	0.77	0.7	0.79	1	0.985	0.645	0.595	0.775	1	0.895	0.98	0.805	0.795	0.845	0.635	0.825	0.775	0.345	0.56	0.565	0.755	0.61	0.795	0.57	0.995	0.98	0.965	0.765	0.58	0.87	0.385	0.785	0.795	0.675	0.605	0.405	0.61	0.98	0.77	0.755
0.4 to 1.4	1	0.79	0.62	0.61	0.665	1	0.41	0.76	0.995	0.805	0.64	0.935	0.66	0.85	0.965	0.995	0.985	0.71	0.975	0.755	0.905	0.745	0.755	0.565	0.81	0.75	0.805	0.54	0.785	0.735	0.845	0.57	0.8	0.835	0.785	0.35	0.995	0.995	0.585	1	0.865	0.785	0.615	0.665	0.59	0.555	0.62	0.895	0.785	0.37	0.935	0.645	0.74	0.99	0.65	0.615	0.98	0.595	0.46	0.79	0.77	0.7	0.79	1	0.985	0.645	0.595	0.775	1	0.895	0.98	0.805	0.795	0.845	0.635	0.825	0.775	0.345	0.56	0.565	0.755	0.61	0.795	0.57	0.995	0.98	0.965	0.765	0.58	0.87	0.385	0.785	0.795	0.675	0.605	0.405	0.61	0.98	0.77	0.755
