model,lnL,AIC,AICc,timing,tree.no,delta,w,group
BM,66.09464496,-126.1892899,-125.9366583,NA,1,7.2557386,0.008540305,agamidae
BMS,69.53619835,-129.0723967,-128.4272354,NAS 41.1945788703423,1,4.7651615,0.029668484,agamidae
delta,68.78720804,-129.5744161,-129.1488842,NA,1,4.0435127,0.042559782,agamidae
DensDep,66.76566095,-129.5313219,-129.4063219,NA,1,3.786075,0.048406233,agamidae
EB,66.09464107,-124.1892821,-123.7637502,NA,1,9.4286467,0.002881591,agamidae
fit_env,66.31937373,-126.6387475,-126.3861159,NA,1,6.80628101,0.017471055,agamidae
JN,68.81019192,-131.6203838,-131.3677523,NA,1,1.8246446,0.129068566,agamidae
kappa,69.86436241,-131.7287248,-131.3031929,NA,1,1.889204,0.124968797,agamidae
lambda,68.16647158,-128.3329432,-127.9074112,,1,5.2849857,0.022877942,agamidae
NIG,67.92282772,-129.8456554,-129.5930239,NA,1,3.599373,0.053142638,agamidae
OU,68.16647159,-128.3329432,-127.9074113,NA,1,5.2849856,0.022877943,agamidae
OUMA,70.54846169,-129.0969234,-128.1838799,NAMA 41.1944801567271,1,5.008517,0.026269474,agamidae
OUMV,68.43641123,-124.8728225,-123.959779,NAMV 43.6837935757768,1,9.2326179,0.003178334,agamidae
OUMVA,68.38570022,-122.7714004,-121.5406312,NAMVA 64.463867250637,1,11.6517657,0.000948174,agamidae
OUS,67.23246817,-124.4649363,-123.819775,NAS 41.7802564742501,1,9.3726219,0.002963453,agamidae
SRC,69.72385803,-133.4477161,-133.1923969,11,1,0,0.321393452,agamidae
TRC,69.94690361,-131.8938072,-131.4636997,7,1,1.7286972,0.13541139,agamidae
TS,66.80176462,-127.6035292,-127.3482101,3,1,5.8441868,0.017297685,agamidae
BM,66.14877882,-126.2975576,-126.0449261,NA1,2,6.353497,0.008866843,agamidae
BMS,70.66730946,-131.3346189,-130.6894576,NAS 45.4208625653439,2,1.7089655,0.090430771,agamidae
delta,67.60442765,-127.2088553,-126.7833234,NA1,2,5.6150997,0.012826553,agamidae
DensDep,62.08238173,-120.1647635,-120.0397635,NA,2,12.3586596,0.000440316,agamidae
EB,69.58995437,-131.1799087,-130.7543768,NA1,2,1.6440463,0.093414277,agamidae
fit_env,61.5551699,-117.1103398,-116.8577082,NA,2,15.54071488,0.000131819,agamidae
JN,66.72786702,-127.455734,-127.2031025,NA,2,5.1953206,0.01582209,agamidae
kappa,70.30788705,-132.6157741,-132.1902422,NA1,2,0.2081809,0.191517061,agamidae
lambda,66.14877882,-124.2975576,-123.8720257,1,2,8.5263974,0.00299178,agamidae
NIG,65.61847354,-125.2369471,-124.9843155,NA,2,7.4141076,0.005217475,agamidae
OU,66.14877883,-124.2975577,-123.8720257,NA1,2,8.5263974,0.00299178,agamidae
OUMA,71.51761001,-131.03522,-130.1221765,NAMA 45.4207848495608,2,2.2762466,0.068097741,agamidae
OUMV,71.4986557,-130.9973114,-130.0842679,NAMV 55.0209519942234,2,2.3141552,0.066819152,agamidae
OUMVA,73.16806175,-132.3361235,-131.1053543,NAMVA 43.2366000687167,2,1.2930688,0.111333806,agamidae
OUS,67.80627117,-125.6125423,-124.9673811,NAS 45.5696749362117,2,7.431042,0.005173484,agamidae
SRC,68.66303164,-131.3260633,-131.0707441,111,2,1.327679,0.109423738,agamidae
TRC,70.41426533,-132.8285307,-132.3984231,6,2,0,0.21252664,agamidae
TS,62.85570936,-119.7114187,-119.4560996,31,2,12.9423235,0.000328869,agamidae
BM,66.37592007,-126.7518401,-126.4992086,NA2,3,7.374009,0.010955684,agamidae
BMS,71.20589107,-132.4117821,-131.7666208,NAS 44.0891785119158,3,2.1065968,0.152560998,agamidae
delta,67.57683143,-127.1536629,-126.728131,NA2,3,7.1450866,0.01228427,agamidae
DensDep,55.94573953,-107.8914791,-107.7664791,NA,3,26.1067385,9.37E-07,agamidae
EB,69.45545262,-130.9109052,-130.4853733,NA2,3,3.3878443,0.080394097,agamidae
