,model,lnL,AIC,AICc,timing,tree.no,delta,w
1,BM,63.89313845,-121.7862769,-121.6002304,BM,1,15.25050287,0.000206212
2,EB,68.16967559,-128.3393512,-128.0268512,EB,1,8.823882067,0.005126679
3,OU,63.89313845,-119.7862769,-119.4737769,OU,1,17.37695637,7.12E-05
4,kappa,63.89313835,-119.7862767,-119.4737767,kappa,1,17.37695657,7.12E-05
5,delta,65.46341136,-122.9268227,-122.6143227,delta,1,14.23641057,0.00034239
6,lambda,63.89313844,-119.7862769,-119.4737769,lambda,1,17.37695637,7.12E-05
7,TS,65.73595302,-125.471906,-125.284406,TS 11,1,11.56632727,0.001301133
8,TRC,66.05546013,-124.1109203,-123.7959596,TRC 7,1,13.05477367,0.000618172
9,SRC,66.03130949,-126.062619,-125.875119,SRC 7,1,10.97561427,0.001748209
10,BMS,67.79720701,-125.594414,-125.1219731,BMS 26.6596831341409,1,11.72876017,0.001199637
11,OUS,63.53210419,-117.0642084,-116.5917674,OUS 41.0277433686665,1,20.25896587,1.69E-05
12,OUMA,68.51714551,-125.034291,-124.3676244,OUMA 30.23595393988,1,12.48310887,0.000822707
13,OUMV,68.16857197,-124.3371439,-123.6704773,OUMV 26.9212350643492,1,13.18025597,0.000580579
14,OUMVA,69.47633792,-124.9526758,-124.0566758,OUMVA 28.8858770843109,1,12.79405747,0.000704244
15,DensDep,63.67120607,-123.3424121,-123.2501045,NA,1,13.60062881,0.000470521
16,JN,62.95902384,-119.9180477,-119.7320012,NA,1,3.737443001,0.08673968
17,NIG,64.82774534,-123.6554907,-123.4694442,NA,1,0,0.562073683
20,BM,65.20371433,-124.4074287,-124.2213822,BM1,2,8.798722071,0.003223831
21,EB,68.63418126,-129.2683625,-128.9558625,EB1,2,4.064241771,0.034391541
22,OU,65.20371433,-122.4074287,-122.0949287,OU1,2,10.92517557,0.001113317
23,kappa,65.20371433,-122.4074287,-122.0949287,kappa1,2,10.92517557,0.001113317
24,delta,66.41160547,-124.8232109,-124.5107109,delta1,2,8.509393371,0.003725626
25,lambda,65.20371433,-122.4074287,-122.0949287,lambda1,2,10.92517557,0.001113317
26,TS,68.10185424,-130.2037085,-130.0162085,TS 111,2,3.003895771,0.058439009
27,TRC,69.30886166,-130.6177233,-130.3027627,TRC 5,2,2.717341571,0.067441512
