,model,lnL,AIC,AICc,timing,tree.no,delta,w
1,BM,59.81905902,-113.638118,-113.4726008,BM,1,8.10109080000001,0.00839507572704623
2,EB,61.92547481,-115.8509496,-115.5731718,EB,1,6.00051980000001,0.0239970477168322
3,OU,59.81905902,-111.638118,-111.3603403,OU,1,10.2133513,0.00291979982539297
4,kappa,59.63937653,-111.2787531,-111.0009753,kappa,1,10.5727163,0.00243959626629886
5,delta,60.50343979,-113.0068796,-112.7291018,delta,1,8.84458980000001,0.00578863093919786
6,lambda,59.819059,-111.638118,-111.3603402,lambda,1,10.2133514,0.00291979967940297
7,DensDep,59.18317883,-114.3663577,-114.2841659,DensDep,1,7.2895257,0.0125966116481927
8,TS,60.52624495,-115.0524899,-114.8858232,TS 8,1,6.6878684,0.0170177430906442
9,TRC,64.1189768,-120.2379536,-119.9582333,TRC 5,1,1.6154583,0.21496206291126
10,SRC,63.87017916,-121.7403583,-121.5736916,SRC 6,1,0,0.482118874377706
11,BMS,60.53855341,-111.0771068,-110.6575264,BMS 15.5274026134477,1,10.9161652,0.00205465532944373
12,OUS,59.85082808,-109.7016562,-109.2820757,OUS 17.042300093617,1,12.2916159,0.00103291278836476
13,OUMA,59.85218852,-107.704377,-107.1128278,OUMA 17.3719210244125,1,14.4608638,0.000349154350671018
14,OUMV,60.18573731,-108.3714746,-107.7799253,OUMV 17.0421752942113,1,13.7937663,0.000487389130503527
15,OUMVA,60.19009691,-106.3801938,-105.5858676,OUMVA 17.0422901544636,1,15.987824,0.000162720497543945
16,JN,63.08471301,-120.169426,-120.0039088,NA,1,1.5697828,0.219927800068612
17,NIG,58.73173483,-111.4634697,-111.2979524,NA,1,10.2757392,0.00283012565288645
18,BM,57.83603074,-109.6720615,-109.5065442,BM1,2,7.5808526,0.0117893916858009
19,EB,59.64530976,-111.2906195,-111.0128417,EB1,2,6.0745551,0.0250368532008522
20,OU,57.83603074,-107.6720615,-107.3942837,OU1,2,9.69311309999999,0.00410033987838752
21,kappa,58.10494747,-108.2098949,-107.9321172,kappa1,2,9.1552796,0.00536548416673933
22,delta,56.19768401,-104.395368,-104.1175902,delta1,2,12.9698066,0.000796700159370276
23,lambda,57.83603069,-107.6720614,-107.3942836,lambda1,2,9.6931132,0.00410033967337051
24,DensDep,56.33649727,-108.6729945,-108.5908028,DensDep1,2,8.49659399999999,0.00745831425456338
25,TS,56.7266491,-107.4532982,-107.2866315,TS 7,2,9.80076529999999,0.00388546927271329
26,TRC,62.43693596,-116.8738719,-116.5941516,TRC 4,2,0.49324519999999,0.40789256450707
27,SRC,61.62703171,-117.2540634,-117.0873968,SRC 5,2,0,0.521978509472462
28,BMS,58.11974317,-106.2394863,-105.8199059,BMS 14.7231642021105,2,11.2674909,0.00186615649868404
29,OUS,57.93441047,-105.8688209,-105.4492405,OUS 14.763470535102,2,11.6381563,0.00155045473828448
30,OUMA,58.71764668,-105.4352934,-104.8437441,OUMA 14.7230514330376,2,12.2436527,0.00114545285738007
31,OUMV,58.11916218,-104.2383244,-103.6467751,OUMV 14.7230516806469,2,13.4406217,0.000629591279672963
32,OUMVA,58.21636301,-102.432726,-101.6383998,OUMVA 14.7230541484351,2,15.448997,0.00023064579907614
33,JN,50.42858138,-94.85716277,-94.69164553,NA,2,22.39575127,7.15281554294639e-06
34,NIG,56.14198039,-106.2839608,-106.1184435,NA,2,10.9689533,0.00216657974002928
35,BM,58.98801021,-111.9760204,-111.8105032,BM2,3,9.45906549999999,0.00319047269033525
36,EB,60.88701558,-113.7740312,-113.4962534,EB2,3,7.77331529999999,0.00741158402195444
37,OU,58.98801022,-109.9760204,-109.6982427,OU2,3,11.571326,0.00110964354665083
38,kappa,58.91802535,-109.8360507,-109.5582729,kappa2,3,11.7112958,0.00103464040814796
39,delta,59.60171612,-111.2034322,-110.9256545,delta2,3,10.3439142,0.00204980513924965
40,lambda,58.98800837,-109.9760167,-109.698239,lambda2,3,11.5713297,0.00110964149381217
41,DensDep,57.92421241,-111.8484248,-111.766233,DensDep2,3,9.50333569999999,0.00312062712931271
42,TS,59.01991114,-112.0398223,-111.8731556,TS 6,3,9.39641309999999,0.00329200000590262
43,TRC,64.32847815,-120.6569563,-120.377236,TRC 41,3,0.892332699999997,0.231258350175543
44,SRC,63.6306898,-121.2613796,-121.0947129,SRC 4,3,0.174855799999989,0.331051494110476
45,BMS,59.55701381,-109.1140276,-108.6944472,BMS 12.0655834325063,3,12.5751215,0.000671756795520769
46,OUS,59.12714487,-108.2542897,-107.8347093,OUS 11.8333685511171,3,13.4348594,0.00043704117542176
47,OUMA,58.82224443,-105.6444889,-105.0529396,OUMA 12.6624299116752,3,16.2166291,0.000108759885130545
48,OUMV,59.25584055,-106.5116811,-105.9201318,OUMV 12.630255026502,3,15.3494369,0.000167794273009375
49,OUMVA,59.71283842,-105.4256768,-104.6313506,OUMVA 12.0656093612496,3,16.6382181,8.80890349324968e-05
50,JN,61.79057169,-117.5811434,-117.4156261,NA,3,3.8539426,0.0526007582273204
51,NIG,63.71754297,-121.4350859,-121.2695687,NA,3,0,0.36129754188728
52,BM,58.13195663,-110.2639133,-110.098396,BM3,4,10.7554341,0.00283616446214554
53,EB,60.31620398,-112.632408,-112.3546302,EB3,4,8.49919989999999,0.00876327503806613
54,OU,58.13195665,-108.2639133,-107.9861355,OU3,4,12.8676946,0.000986415461945089
55,kappa,57.75839619,-107.5167924,-107.2390146,kappa3,4,13.6148155,0.00067892942114
56,delta,58.85810548,-109.716211,-109.4384332,delta3,4,11.4153969,0.0020390238692439
57,lambda,58.13195663,-108.2639133,-107.9861355,lambda3,4,12.8676946,0.000986415461945089
58,DensDep,56.33485736,-108.6697147,-108.5875229,DensDep3,4,12.2663072,0.00133244559622042
59,TS,56.89791018,-107.7958204,-107.6291537,TS 71,4,13.2246764,0.000825167772985461
60,TRC,63.0789925,-118.157985,-117.8782647,TRC 42,4,2.97556539999999,0.138710211546333
61,SRC,62.04352679,-118.0870536,-117.9203869,SRC 51,4,2.9334432,0.141662582137767
62,BMS,60.6628647,-111.3257294,-110.906149,BMS 0.508905126904295,4,9.9476811,0.00424749372775538
63,OUS,57.50255469,-105.0051094,-104.585529,OUS 14.0981232665275,4,16.2683011,0.000180147214841277
64,OUMA,57.55580364,-103.1116073,-102.520058,OUMA 14.0981118664928,4,18.3337721,6.41381196088283e-05
65,OUMV,57.88170883,-103.7634177,-103.1718684,OUMV 14.1864447304772,4,17.6819617,8.88495133035502e-05
66,OUMVA,57.65674785,-101.3134957,-100.5191695,OUMVA 13.1818476434954,4,20.3346606,2.35846158062592e-05
67,JN,61.50191278,-117.0038256,-116.8383083,NA,4,4.0155218,0.08246786875753
68,NIG,63.50967366,-121.0193473,-120.8538301,NA,4,0,0.614107287283364
69,BM,58.78945896,-111.5789179,-111.4134007,BM4,5,6.7531798,0.0189402492604684
70,EB,57.83374832,-107.6674966,-107.3897189,EB4,5,10.7768616,0.00253311139665497
71,OU,58.78945896,-109.5789179,-109.3011402,OU4,5,8.86544029999999,0.00658740174379255
72,kappa,59.23464631,-110.4692926,-110.1915148,kappa4,5,7.9750657,0.0102815013820752
73,delta,59.36765746,-110.7353149,-110.4575371,delta4,5,7.7090434,0.0117441758833455
74,lambda,58.78945895,-109.5789179,-109.3011401,lambda4,5,8.8654404,0.00658740141442244
75,DensDep,57.69148418,-111.3829684,-111.3007766,DensDep4,5,6.86580389999999,0.0179031593666591
76,TS,58.278792,-110.557584,-110.3909173,TS 72,5,7.7756632,0.0113594221872721
77,TRC,62.54075921,-117.0815184,-116.8017981,TRC 6,5,1.3647824,0.280195604901336
78,SRC,62.1666236,-118.3332472,-118.1665805,SRC 61,5,0,0.554395953076187
79,BMS,59.1047063,-108.2094126,-107.7898322,BMS 17.5629295156263,5,10.3767483,0.00309412452379084
80,OUS,58.66322581,-107.3264516,-106.9068712,OUS 17.5629619606893,5,11.2597093,0.00198978083240822
81,OUMA,58.55210538,-105.1042108,-104.5126615,OUMA 17.7663280363709,5,13.653919,0.000601048077505459
82,OUMV,59.35986801,-106.719736,-106.1281867,OUMV 18.0810439850333,5,12.0383938,0.00134808120018642
83,OUMVA,59.10674974,-104.2134995,-103.4191732,OUMVA 17.5629698573597,5,14.7474073,0.000347905460342802
