,model,lnL,AIC,AICc,timing,tree.no,delta,w
1,BM,212.2861935,-418.5723871,-418.4426573,NA,1,19.572088,2.86203422505931e-05
2,EB,214.3395634,-420.6791267,-420.4617354,NA,1,17.5530099,7.85438276104446e-05
3,OU,212.2861935,-416.5723871,-416.3549958,NA,1,21.6597495,1.00773162534682e-05
4,kappa,211.5649802,-415.1299603,-414.912569,NA,1,23.1021763,4.89920811316515e-06
5,delta,219.2664784,-430.5329569,-430.3155656,NA,1,7.6991797,0.0108353788906228
6,lambda,212.2861935,-416.5723871,-416.3549958,NA,1,21.6597495,1.00773162534682e-05
7,ts ,213.9667287,-421.9334574,-421.8030226,NA 11,1,16.2117227,0.000153592099293322
8,trc ,223.1166623,-438.2333245,-438.0147453,NA 10,1,0,0.508978844855106
9,src ,222.0134535,-438.026907,-437.8964722,NA 10,1,0.11827310000001,0.479752287754864
10,bms ,214.8744482,-419.7488965,-419.4210276,43.72343452,1,18.5937177,4.66793966686265e-05
11,ous ,211.7955996,-413.5911991,-413.2633303,4.678198563,1,24.751415,2.14782184335785e-06
12,ouma ,215.3266788,-418.6533576,-418.1918192,18.58485,1,19.8229261,2.52467815062554e-05
13,oumv ,215.7311724,-419.4623449,-419.0008064,27.31757947,1,19.0139389,3.78333989456538e-05
14,oumva ,214.9038046,-415.8076092,-415.1888246,a 34.8134510491957,1,22.8259207,5.62488994462003e-06
15,DensDep,211.28414049612,-418.568280992239,-418.503764863207,NA,1,19.510980436793,2.95082980641635e-05
16,JN,208.481009571455,-410.962019142909,-410.83228941318,NA,1,27.18245588682,6.36948667829728e-07
17,NIG,201.866486911653,-397.732973823306,-397.603244093576,NA,1,40.411501206424,8.5399188145506e-10
18,BM,208.0415197,-410.0830394,-409.9533096,NA1,2,20.3225923,2.20915848563908e-05
19,EB,215.833526,-423.667052,-423.4496607,NA1,2,6.82624120000003,0.0188331201753862
20,OU,208.0415197,-408.0830394,-407.8656481,NA1,2,22.4102538,7.77851938977307e-06
21,kappa,209.4207475,-410.841495,-410.6241037,NA1,2,19.6517982,3.08949830623875e-05
22,delta,212.2251933,-416.4503866,-416.2329953,NA1,2,14.0429066,0.000510320831999669
23,lambda,208.0415197,-408.0830393,-407.865648,NA1,2,22.4102539,7.77851900084725e-06
24,ts ,208.7882162,-411.5764324,-411.4459976,NA 111,2,18.8299043,4.65972142956424e-05
25,trc ,219.2472406,-430.4944812,-430.2759019,NA 11,2,0,0.571770468099428
26,src ,217.8657672,-429.7315344,-429.6010997,NA 11,2,0.674802199999988,0.408028298594502
27,bms ,207.0147297,-404.0294594,-403.7015905,65.74297043,2,26.5743114,9.69802545332839e-07
28,ous ,207.6667114,-405.3334229,-405.005554,13.60164871,2,25.2703479,1.86138151175834e-06
29,ouma ,214.3483552,-416.6967105,-416.235172,9.584836824,2,14.0407299,0.000510876542025813
30,oumv ,211.1315799,-410.2631598,-409.8016213,27.91333797,2,20.4742806,2.04780301257953e-05
31,oumva ,212.6217789,-411.2435578,-410.6247733,a 27.9134086953211,2,19.6511286,3.0905328434436e-05
32,DensDep,206.663741310009,-409.327482620019,-409.262966490986,NA,2,21.012935409014,1.5643026173806e-05
33,JN,210.032116315859,-414.064232631718,-413.934502901988,NA,2,16.341398998012,0.00016170818945411
34,NIG,203.381752273719,-400.763504547437,-400.633774817708,NA,2,29.642127082292,2.09177808388967e-07
35,BM,206.1352131,-406.2704263,-406.1406966,NA2,3,20.7304593,2.04623390081572e-05
36,EB,215.4543245,-422.908649,-422.6912577,NA2,3,4.17989820000003,0.0803274452129169
37,OU,206.1352137,-404.2704274,-404.053036,NA2,3,22.8181199,7.20485983213875e-06
38,kappa,208.7768796,-409.5537592,-409.3363679,NA2,3,17.534788,0.000101131507566215
39,delta,212.8895268,-417.7790535,-417.5616622,NA2,3,9.30949370000002,0.00617997110586003
40,lambda,206.1352137,-404.2704273,-404.053036,NA2,3,22.8181199,7.20485983213875e-06
41,ts ,206.2062488,-406.4124976,-406.2820628,NA 112,3,20.5890931,2.19610224456572e-05
42,trc ,217.5448676,-427.0897351,-426.8711559,NA 101,3,0,0.649407524227561
43,src ,215.5996743,-425.1993486,-425.0689138,NA 101,3,1.8022421,0.263733571851522
44,bms ,210.0726168,-410.1452336,-409.8173648,48.94461203,3,17.0537911,0.000128627441436213
45,ous ,205.2857567,-400.5715134,-400.2436445,54.16628803,3,26.6275114,1.07257256050458e-06
46,ouma ,204.5470869,-397.0941737,-396.6326353,37.03507767,3,30.2385206,1.76321794599597e-07
47,oumv ,209.9972512,-407.9945024,-407.532964,40.68425214,3,19.3381919,4.104708305432e-05
48,oumva ,209.8393794,-405.6787587,-405.0599742,a 40.6842518572499,3,21.8111817,1.19200859837571e-05
49,DensDep,204.24010106793,-404.48020213586,-404.415686006827,NA,3,22.455469893173,8.6372200574033e-06
50,JN,203.792227298425,-401.58445459685,-401.454724867121,NA,3,25.416431032879,1.96521215924445e-06
51,NIG,200.553669071128,-395.107338142255,-394.977608412525,NA,3,31.893547487475,7.70764094437991e-08
52,BM,207.1023053,-408.2046106,-408.0748809,NA3,4,18.2147517,6.47842158604336e-05
53,EB,215.8421007,-423.6842014,-423.4668101,NA3,4,2.82282250000003,0.142489927400888
54,OU,207.1023054,-406.2046108,-405.9872195,NA3,4,20.3024131,2.28107357481923e-05
55,kappa,207.3163518,-406.6327037,-406.4153123,NA3,4,19.8743203,2.82552050813179e-05
56,delta,212.5965232,-417.1930464,-416.9756551,NA3,4,9.31397750000002,0.00554942218931045
57,lambda,207.1023054,-406.2046108,-405.9872194,NA3,4,20.3024132,2.28107346076559e-05
58,ts ,206.5962856,-407.1925712,-407.0621364,NA 113,4,19.2274962,3.90440205361258e-05
59,trc ,217.2541059,-426.5082118,-426.2896326,NA 111,4,0,0.584456620833562
60,src ,215.4270253,-424.8540506,-424.7236158,NA 111,4,1.5660168,0.267113633716482
61,bms ,209.9335935,-409.8671869,-409.5393181,37.40909377,4,16.7503145,0.000134731052988957
62,ous ,205.9042245,-401.8084491,-401.4805802,-1.13175884,4,24.8090524,2.39626587738657e-06
63,ouma ,207.0540619,-402.1081239,-401.6465854,-2.683246823,4,24.6430472,2.60364982965875e-06
