,model,lnL,AIC,AICc,timing,tree.no,delta,w
1,BM,204.7528039,-403.5056078,-403.4017117,BM,1,4.14097749999996,0.0562980122083438
2,EB,202.0763942,-396.1527885,-395.9788754,EB,1,11.5638138,0.00137608302742351
3,OU,204.7528039,-401.5056078,-401.3316947,OU,1,6.21099449999997,0.0199983691431785
4,kappa,203.8219327,-399.6438654,-399.4699523,kappa,1,8.0727369,0.0078835595970627
5,delta,206.1152029,-404.2304059,-404.0564928,delta,1,3.48619639999998,0.0781046643136431
6,lambda,204.7528039,-401.5056077,-401.3316947,lambda,1,6.21099449999997,0.0199983691431785
7,DensDep,202.058022,-400.116044,-400.0643199,DensDep,1,7.4783693,0.0106117653830806
8,TS,202.9942883,-399.9885766,-399.8842287,TS 3,1,7.65846049999999,0.00969798107635902
9,TRC,207.8586809,-407.7173617,-407.5426892,TRC 8,1,0,0.446369898620629
10,SRC,206.5358233,-407.0716466,-406.9672988,SRC 10,1,0.575390400000003,0.334773029187542
11,BMS,203.053319,-396.1066379,-395.8446292,BMS 62.2399085241887,1,11.69806,0.00128674783547906
12,OUS,202.8170141,-395.6340283,-395.3720196,OUS 37.1112186145891,1,12.1706696,0.00101593886732277
13,OUMA,202.8195552,-393.6391104,-393.2706894,OUMA 41.1709389065714,1,14.2719998,0.000355278985814324
14,OUMV,202.5182699,-393.0365398,-392.6681187,OUMV 39.8248364945698,1,14.8745705,0.000262859062988932
15,OUMVA,207.355304,-400.710608,-400.2172159,OUMVA 35.6617098605784,1,7.3254733,0.0114548283078204
16,JN,200.053671462716,-394.107342925431,-394.003446821535,NA,1,13.539242378465,0.000512490445103232
17,NIG,191.733306752768,-377.466613505536,-377.36271740164,NA,1,30.17997179836,1.24795030592525e-07
18,BM,209.9130152,-413.8260305,-413.7221344,BM1,2,676.8120366,1.07679643603088e-147
19,EB,212.2960448,-416.5920895,-416.4181765,EB1,2,674.1159945,4.14545030218095e-147
20,OU,209.9130152,-411.8260305,-411.6521174,OU1,2,678.8820536,3.82503249672693e-148
21,kappa,209.9169668,-411.8339337,-411.6600207,kappa1,2,678.8741503,3.84017759073989e-148
22,delta,549.3540421,-1090.708084,-1090.534171,delta1,2,0,1
23,lambda,209.9130152,-411.8260304,-411.6521174,lambda1,2,678.8820536,3.82503249672693e-148
24,DensDep,210.3867036,-416.7734071,-416.721683,DensDep1,2,673.812488,4.82477774310448e-147
25,TS,211.337236,-416.6744719,-416.5701241,TS 11,2,673.9640469,4.47266854363096e-147
26,TRC,213.371766,-418.743532,-418.5688595,TRC 10,2,671.9653115,1.21502885700348e-146
27,SRC,213.3509339,-420.7018678,-420.59752,SRC 101,2,669.936651,3.35046143160996e-146
28,BMS,211.1923876,-412.3847751,-412.1227664,BMS 56.4909668456616,2,678.4114046,4.83988743447775e-148
29,OUS,210.5408959,-411.0817917,-410.819783,OUS 57.0037530450663,2,679.714388,2.52287661181632e-148
30,OUMA,209.9154197,-407.8308393,-407.4624183,OUMA 50.5672229125103,2,683.0717527,4.7081851067322e-149
31,OUMV,211.3495815,-410.6991631,-410.330742,OUMV 50.3356544503791,2,680.203429,1.97561405335101e-148
32,OUMVA,212.9078078,-411.8156157,-411.3222236,OUMVA 47.766243709939,2,679.2119474,3.24339319151238e-148
33,JN,205.670552947222,-405.341105894443,-405.237209790547,NA,2,685.296961209453,1.54758902375106e-149
34,NIG,191.709919662536,-377.419839325073,-377.315943221177,NA,2,713.218227778823,1.33853472206032e-155
35,BM,205.6109707,-405.2219414,-405.1180453,BM2,3,7.16467999999998,0.0234361962465417
36,EB,200.5989234,-393.1978467,-393.0239337,EB2,3,19.2587916,5.54222509243813e-05
37,OU,205.6109708,-403.2219416,-403.0480285,OU2,3,9.23469679999999,0.0083250852442961
38,kappa,205.6109708,-403.2219416,-403.0480285,kappa2,3,9.23469679999999,0.0083250852442961
39,delta,207.6928244,-407.3856487,-407.2117357,delta2,3,5.07098959999996,0.0667615205815007
40,lambda,205.6109708,-403.2219416,-403.0480285,lambda2,3,9.23469679999999,0.0083250852442961
41,DensDep,200.6163711,-397.2327422,-397.181018,DensDep2,3,15.1017073,0.000442979416175861
42,TS,201.9906973,-397.9813946,-397.8770468,TS 31,3,14.4056785,0.0006273707692333
43,TRC,210.2286989,-412.4573978,-412.2827253,TRC 7,3,0,0.842708976986132
44,SRC,205.512852,-405.025704,-404.9213562,SRC 8,3,7.36136909999999,0.0212410817594093
45,BMS,200.7346208,-391.4692416,-391.2072329,BMS 65.7429884614496,3,21.0754924,2.23456295114454e-05
46,OUS,201.2346957,-392.4693914,-392.2073827,OUS 45.8379784118805,3,20.0753426,3.68444742304775e-05
47,OUMA,202.9619423,-393.9238846,-393.5554635,OUMA 54.3958914639142,3,18.7272618,7.22943554113429e-05
48,OUMV,205.0674557,-398.1349114,-397.7664904,OUMV 49.70642342769,3,14.5162349,0.000593631943958385
49,OUMVA,201.7778274,-389.5556547,-389.0622627,OUMVA 54.395882609923,3,23.2204626,7.64571724909176e-06
50,JN,200.259335213611,-394.518670427222,-394.414774323326,NA,3,17.867950976674,0.00011109675252433
51,NIG,205.396239094698,-404.792478189396,-404.6885820855,NA,3,7.59414321449998,0.018907337384309
52,BM,206.0676883,-406.1353766,-406.0314805,BM3,4,2.76919220000002,0.0874130232579681
53,EB,208.3444785,-408.688957,-408.5150439,EB3,4,0.285628799999984,0.302604290213015
54,OU,206.0676883,-404.1353767,-403.9614636,OU3,4,4.83920910000001,0.0310511495143149
55,kappa,206.0676881,-404.1353761,-403.9614631,kappa3,4,4.8392096,0.0310511417515285
56,delta,207.6576151,-407.3152301,-407.1413171,delta3,4,1.65935560000003,0.152255888001854
57,lambda,206.0676883,-404.1353766,-403.9614635,lambda3,4,4.83920920000003,0.0310511479617571
58,DensDep,192.9343652,-381.8687303,-381.8170062,DensDep3,4,26.9836665,4.82469490692036e-07
59,TS,195.803531,-385.607062,-385.5027142,TS 32,4,23.2979585,3.04657012320934e-06
60,TRC,208.4876726,-408.9753452,-408.8006727,TRC 4,4,0,0.349058796405681
61,SRC,198.616304,-391.2326081,-391.1282603,SRC 11,4,17.6724124,5.0743800766242e-05
62,BMS,193.7125514,-377.4251029,-377.1630941,BMS 63.6620256943381,4,31.6375786,4.70853370399434e-08
63,OUS,195.2146053,-380.4292106,-380.1672018,OUS 58.5943559407383,4,28.6334709,2.11455692973529e-07
64,OUMA,198.263924,-384.527848,-384.159427,OUMA 50.5789312585838,4,24.6412457,1.55639586923131e-06
65,OUMV,202.189889,-392.379778,-392.0113569,OUMV 51.0845351115949,4,16.7893158,7.89123512009638e-05
66,OUMVA,196.4585447,-378.9170894,-378.4236973,OUMVA 59.0349699807837,4,30.3769754,8.8434594806504e-08
67,JN,204.328109511552,-402.656219023105,-402.552322919209,NA,4,6.24834978079099,0.0153492327442149
68,NIG,198.098506760412,-390.197013520824,-390.093117416928,NA,4,18.707555283072,3.02415865899946e-05
69,BM,206.7324347,-407.4648694,-407.3609733,BM4,5,2.04176960091996,0.0969656088482661
70,EB,208.3486204,-408.6972408,-408.5233278,EB4,5,0.879415100919971,0.173388305142498
71,OU,206.7324347,-405.4648694,-405.2909563,OU4,5,4.11178660091997,0.0344444495262886
72,kappa,206.7324345,-405.464869,-405.290956,kappa4,5,4.11178690091998,0.0344444443596214
73,delta,207.7529664,-407.5059328,-407.3320197,delta4,5,2.07072320091999,0.0955719691830125
74,lambda,206.7324347,-405.4648693,-405.2909563,lambda4,5,4.11178660091997,0.0344444495262886
75,DensDep,204.037528,-404.075056,-404.0233318,DensDep4,5,5.37941110091998,0.0182750294601375
76,TS,204.2827553,-402.5655107,-402.4611629,TS 111,5,6.94158000092,0.00836830343217525
77,TRC,208.4381269,-408.8762537,-408.7015812,TRC 3,5,0.701161700919954,0.189551417027651
78,SRC,205.8806683,-405.7613365,-405.6569887,SRC 111,5,3.74575420091998,0.0413620613295462
79,BMS,204.5876345,-399.175269,-398.9132602,BMS 62.8182827528889,5,10.48948270092,0.00141977700092734
80,OUS,204.1047392,-398.2094784,-397.9474697,OUS 46.834120153208,5,11.45527320092,0.000875994530033156
81,OUMA,204.7841708,-397.5683417,-397.1999206,OUMA 50.1954564026438,5,12.20282230092,0.000602799897469853
82,OUMV,204.3509522,-396.7019044,-396.3334834,OUMV 39.666852315983,5,13.06925950092,0.000390866745152893
83,OUMVA,205.5886575,-397.1773151,-396.683923,OUMVA 49.8799973310481,5,12.71881990092,0.000465720885564483
84,JN,207.753319502408,-409.506639004816,-409.40274290092,NA,5,0,0.269142550874437
85,NIG,200.907196403767,-395.814392807535,-395.710496703639,NA,5,13.692246197281,0.000286252230930578
86,BM,205.8122405,-405.6244811,-405.520585,BM5,6,0.959090100000026,0.141640229483011
87,EB,207.3044241,-406.6088483,-406.4349352,EB5,6,0.0447399000000246,0.223735678281837
88,OU,205.8122405,-403.6244811,-403.4505681,OU5,6,3.02910700000001,0.0503139209582016
89,kappa,205.8122404,-403.6244807,-403.4505677,kappa5,6,3.02910739999999,0.050313910895419
90,delta,206.7963225,-405.5926449,-405.4187319,delta5,6,1.0609432,0.13460757553036
91,lambda,205.8122405,-403.6244811,-403.450568,lambda5,6,3.02910710000003,0.0503139184425051
92,DensDep,203.3703909,-402.7407818,-402.6890577,DensDep5,6,3.79061740000003,0.0343817739668785
