model,lnL,AIC,AICc,delta,w,tree.no,timing
kappa,69.86436241,-131.7287248,-131.3031929,1.889204,0.164036176,1,NA
TRC,69.94690361,-131.8938072,-131.4636997,1.728697209,0.177743302,1,7
SRC,69.72385803,-133.4477161,-133.1923969,0,0.421866533,1,11
EB,69.58995437,-131.1799087,-130.7543768,1.644046306,0.095638593,2,NA
kappa,70.30788705,-132.6157741,-132.1902422,0.208180946,0.196077328,2,NA
TRC,70.41426533,-132.8285307,-132.3984231,0,0.217587177,2,6
SRC,68.66303164,-131.3260633,-131.0707441,1.327679013,0.112029259,2,11
BMS,70.66730946,-131.3346189,-130.6894576,1.708965509,0.092584045,2,NA
OUMVA,73.16806175,-132.3361235,-131.1053543,1.29306886,0.113984805,2,NA
TRC,71.15166254,-134.3033251,-133.8732176,0,0.47277907,3,7
kappa,68.17466044,-128.3493209,-127.923789,1.166509534,0.197930588,4,NA
BMS,69.33237747,-128.6647549,-128.0195937,1.070704846,0.207642686,4,NA
OUMA,71.00167099,-130.003342,-129.0902985,0,0.35466411,4,NA
TRC,73.99713301,-139.994266,-139.5641585,0,0.651486658,5,8
kappa,69.50597516,-131.0119503,-130.5864184,0.888677043,0.268045142,6,NA
OUMVA,73.35293234,-132.7058647,-131.4750954,0,0.418005223,6,NA
kappa,70.99919822,-133.9983964,-133.5728645,0,0.391300346,7,NA
OUMA,72.8496221,-133.6992442,-132.7862007,0.786663804,0.264051329,7,NA
EB,69.95840225,-131.9168045,-131.4912726,0.975324666,0.238555309,8,NA
TRC,70.44835239,-132.8967048,-132.4665973,0,0.388488482,8,7
TRC,72.21372393,-136.4274479,-135.9973403,0,0.666867474,9,10
TRC,76.44945063,-144.8989013,-144.4687937,0,0.89258493,10,10
TRC,78.15552137,-148.3110427,-147.8809352,0,0.944726273,11,8
TRC,75.44104756,-142.8820951,-142.4519876,0,0.932462506,12,8
TRC,73.66719918,-139.3343984,-138.9042908,0,0.628293968,13,8
