model,lnL,AIC,AICc,delta,w,tree.no,timing
EB,68.16967559,-128.3393512,-128.0268512,0,0.398019949,1,NA
TS,68.10185424,-130.2037085,-130.0162085,1.66132589,0.125403109,2,11
TRC,69.30886166,-130.6177233,-130.3027627,1.374771671,0.144721402,2,5
SRC,68.93251718,-131.8650344,-131.6775344,0,0.287780019,2,5
BMS,70.12050512,-130.2410102,-129.7685693,1.908965071,0.110798566,2,NA
OUMA,71.34562577,-130.6912515,-130.0245849,1.652949485,0.125929424,2,NA
EB,68.61330389,-129.2266078,-128.9141078,1.409670041,0.175748116,3,NA
TRC,68.67008412,-129.3401682,-129.0252076,1.298570205,0.185787163,3,5
SRC,68.25563891,-130.5112778,-130.3237778,0,0.355628567,3,5
EB,67.2950066,-126.5900132,-126.2775132,0,0.389700884,4,NA
TRC,67.13543111,-126.2708622,-125.9559016,0.321611616,0.331813702,4,4
SRC,65.59205084,-125.1841017,-124.9966017,1.280911526,0.205392692,4,8
TRC,66.23876584,-124.4775317,-124.162571,0,0.935915721,5,5
EB,65.46228394,-122.9245679,-122.6120679,0.648252052,0.405342821,6,NA
TRC,65.78764028,-123.5752806,-123.2603199,0,0.560516795,6,5
TRC,65.70482779,-123.4096556,-123.0946949,0,0.684900521,7,5
EB,65.90607757,-123.8121551,-123.4996551,0,0.485967006,8,NA
TRC,65.23071161,-122.4614232,-122.1464626,1.353192553,0.247038564,8,5
EB,68.96235783,-129.9247157,-129.6122157,1.152146124,0.133280811,9,NA
TS,67.86739252,-129.734785,-129.547285,1.217076736,0.129023293,9,11
SRC,68.47593089,-130.9518618,-130.7643618,0,0.237111697,9,6
BMS,69.94401562,-129.8880312,-129.4155903,1.348771497,0.120801122,9,NA
OUMA,71.11517178,-130.2303436,-129.5636769,1.200684899,0.130085103,9,NA
EB,67.49651856,-126.9930371,-126.6805371,0,0.355230265,10,NA
TRC,66.55883803,-125.1176761,-124.8027154,1.877821698,0.138914045,10,5
SRC,65.71327792,-125.4265558,-125.2390558,1.441481297,0.172781115,10,7
EB,66.56659625,-125.1331925,-124.8206925,0,0.5808769,11,NA
TRC,66.0839142,-124.1678284,-123.8528678,0.967824743,0.358033475,11,5
EB,67.92174504,-127.8434901,-127.5309901,0,0.507757543,12,NA
TRC,66.95429454,-125.9085891,-125.5936284,1.937361643,0.192736358,12,5
EB,65.93159025,-123.8631805,-123.5506805,0,0.498300332,13,NA
