model,lnL,AIC,AICc,weight$delta,weight$w,tree.no,timing
TRC,64.1189768,-120.2379536,-119.9582333,1.615458326,0.276570284,1,5
SRC,63.87017916,-121.7403583,-121.5736916,0,0.620294362,1,6
TRC,62.43693596,-116.8738719,-116.5941516,0.493245117,0.408781155,2,4
SRC,61.62703171,-117.2540634,-117.0873968,0,0.523115613,2,5
TRC,64.32847815,-120.6569563,-120.377236,0.717476906,0.394570345,3,4
SRC,63.6306898,-121.2613796,-121.0947129,0,0.564836264,3,4
TRC,63.0789925,-118.157985,-117.8782647,0.042122182,0.4571485,4,4
SRC,62.04352679,-118.0870536,-117.9203869,0,0.46687865,4,5
TRC,62.54075921,-117.0815184,-116.8017981,1.364782397,0.301964556,5,6
SRC,62.1666236,-118.3332472,-118.1665805,0,0.597468072,5,6
TRC,63.00571691,-118.0114338,-117.7317135,0.866747737,0.362880871,6,4
SRC,62.38256397,-118.7651279,-118.5984613,0,0.559726611,6,4
TRC,64.9260433,-121.8520866,-121.5723663,1.519843988,0.31080055,7,5
SRC,64.62943848,-123.258877,-123.0922103,0,0.664525587,7,5
TRC,62.93873589,-117.8774718,-117.5977515,1.826500846,0.251711548,8,5
SRC,62.79545951,-119.590919,-119.4242523,0,0.627368573,8,5
SRC,65.81581766,-125.6316353,-125.4649686,0,0.692531031,9,6
TRC,62.38233986,-116.7646797,-116.4849594,1.597736373,0.262109566,10,6
SRC,62.12468124,-118.2493625,-118.0826958,0,0.582675713,10,6
TRC,63.91958277,-119.8391655,-119.5594453,0.989632145,0.358616999,11,5
SRC,63.35787204,-120.7157441,-120.5490774,0,0.588202359,11,5
TRC,65.55411583,-123.1082317,-122.8285114,1.741281852,0.283553864,12,6
SRC,65.36822995,-124.7364599,-124.5697932,0,0.677251725,12,6
TRC,63.59810488,-119.1962098,-118.9164895,1.761489359,0.265615415,13,6
SRC,63.42232275,-120.8446455,-120.6779788,0,0.640849175,13,7
TRC,59.72118938,-111.4423788,-111.1626585,1.922802663,0.18714487,14,5
SRC,59.62606391,-113.2521278,-113.0854611,0,0.489450999,14,5
OUMA,3050.916082,-6089.832164,-6089.240615,0,1,15, NA
TRC,64.27589884,-120.5517977,-120.2720774,1.899277688,0.270751557,16,6
SRC,64.16901087,-122.3380217,-122.1713551,0,0.699832122,16,6
TRC,63.6874324,-119.3748648,-119.0951445,0.439763264,0.436780183,17,6
SRC,62.85078722,-119.7015744,-119.5349078,0,0.544197204,17,6
TRC,62.28900923,-116.5780185,-116.2982982,0.188860817,0.463484801,18,4
