model,lnL,AIC,AICc,delta,w,tree.no,timing
trc 10,223.1166623,-438.2333245,-438.0147453,0,0.508994184,1,10
src 10,222.0134535,-438.026907,-437.8964722,0.118273057,0.479766756,1,10
trc 11,219.2472406,-430.4944812,-430.2759019,0,0.571872019,2,11
src 11,217.8657672,-429.7315344,-429.6010997,0.674802275,0.408100752,2,11
trc 10,217.5448676,-427.0897351,-426.8711559,0,0.649414457,3,10
src 10,215.5996743,-425.1993486,-425.0689138,1.802242066,0.263736392,3,10
trc 11,217.2541059,-426.5082118,-426.2896326,0,0.584475375,4,11
src 11,215.4270253,-424.8540506,-424.7236158,1.566016778,0.267122208,4,11
EB,217.6862617,-427.3725233,-427.155132,0.771800115,0.302262721,5,NA
trc 10,217.3772286,-426.7544571,-426.5358779,1.391054243,0.221776366,5,10
src 11,217.0286835,-428.0573669,-427.9269321,0,0.444609618,5,11
EB,214.8038984,-421.6077969,-421.3904056,1.714330528,0.174379749,6,NA
trc 10,215.6616577,-423.3233153,-423.1047361,0,0.410920865,6,10
src 10,214.5762361,-423.1524721,-423.0220373,0.082698777,0.394276036,6,10
EB,218.5945387,-429.1890774,-428.9716861,0.854318443,0.238789288,7,NA
trc 10,219.0222919,-430.0445838,-429.8260046,0,0.366039314,7,10
src 11,217.7492347,-429.4984694,-429.3680347,0.457969904,0.291125892,7,11
trc 11,219.6015125,-431.203025,-430.9844457,0,0.639987093,8,11
EB,219.1430197,-430.2860394,-430.0686481,0,0.277327595,9,NA
delta,218.6410304,-429.2820607,-429.0646694,1.003978627,0.167873404,9,NA
src 10,217.8360867,-429.6721735,-429.5417387,0.526909371,0.213096427,9,10
EB,220.8694926,-433.7389853,-433.5215939,0,0.419383341,10,NA
src 11,219.6395846,-433.2791692,-433.1487345,0.372859482,0.348053309,10,11
trc 11,223.4085982,-438.8171964,-438.5986172,1.655351464,0.253807928,11,11
src 11,223.1922017,-440.3844034,-440.2539686,0,0.580711179,11,11
EB,222.4488922,-436.8977843,-436.680393,0,0.669914306,12,NA
trc 10,221.5013455,-435.002691,-434.7841118,1.896281203,0.259565532,12,10
EB,222.613844,-437.227688,-437.0102967,0.526324059,0.280771915,13,NA
trc 10,222.8138133,-437.6276267,-437.4090475,0.127573269,0.342721458,13,10
src 10,221.8335278,-437.6670555,-437.5366207,0,0.365294792,13,10
trc 8,225.9709107,-443.9418215,-443.7232423,0,0.623004456,14,8
EB,223.3317461,-438.6634922,-438.4461009,0.693097874,0.328949747,15,NA
trc 10,222.7951602,-437.5903204,-437.3717412,1.767457572,0.192236261,15,10
src 10,222.6348168,-439.2696335,-439.1391987,0,0.465193724,15,10
EB,223.0148585,-438.0297171,-437.8123258,0,0.68583508,16,NA
EB,221.5408226,-435.0816452,-434.8642539,1.132527735,0.320296903,17,NA
trc 8,222.1076804,-436.2153609,-435.9967816,0,0.564258373,17,8
trc 11,227.9866531,-447.9733061,-447.7547269,0.07453204,0.490644009,18,11
src 11,226.9798468,-447.9596937,-447.8292589,0,0.509273323,18,11
trc 11,221.7325436,-435.4650871,-435.2465079,0.821466183,0.384498913,19,11
src 11,221.0992044,-436.1984089,-436.0679741,0,0.579794687,19,11
trc 11,224.9814932,-441.9629863,-441.7444071,0,0.807795397,20,11
trc 11,225.2444031,-442.4888062,-442.270227,0.084222729,0.474320042,21,11
src 11,224.2424423,-442.4848845,-442.3544497,0,0.494720844,21,11
trc 10,224.9140033,-441.8280066,-441.6094274,1.429415162,0.327679623,22,10
src 10,224.5846387,-443.1692773,-443.0388425,0,0.669642476,22,10
trc 10,219.1397709,-430.2795419,-430.0609626,1.33340659,0.334978967,23,10
src 11,218.762402,-431.524804,-431.3943692,0,0.652473836,23,11
trc 9,226.5100594,-445.0201188,-444.8015396,0,0.578426145,24,9
src 9,224.9048827,-443.8097655,-443.6793307,1.122208849,0.330037554,24,9
trc 10,228.4891951,-448.9783901,-448.7598109,0,0.679375553,25,10
src 10,226.6216072,-447.2432145,-447.1127797,1.647031157,0.29816842,25,10
trc 11,223.1587543,-438.3175086,-438.0989294,0.779837783,0.363322058,26,11
src 11,222.504601,-439.009202,-438.8787672,0,0.53657618,26,11
trc 11,226.0275235,-444.055047,-443.8364677,1.765674932,0.284410367,27,11
src 11,225.8662887,-445.7325774,-445.6021427,0,0.687633241,27,11
src 10,223.8444795,-441.688959,-441.5585242,0,0.660894907,28,10
trc 11,226.1902,-444.3804,-444.1618208,1.557988746,0.306392935,29,11
src 11,225.9251221,-445.8502443,-445.7198095,0,0.66771588,29,11
trc 10,225.9273707,-443.8547414,-443.6361621,0.646819887,0.419296557,30,10
src 10,225.2067084,-444.4134168,-444.282982,0,0.579397278,30,10
src 10,227.1045165,-448.209033,-448.0785982,0,0.712174775,31,10
trc 10,223.146812,-438.2936239,-438.0750447,0.46688674,0.43799642,32,10
src 10,222.3361831,-438.6723662,-438.5419314,0,0.553163771,32,10
trc 11,226.3271807,-444.6543615,-444.4357822,0.099536769,0.461292361,33,11
src 11,225.3328769,-444.6657538,-444.535319,0,0.484831019,33,11
