,lnL,AIC,AICc,weight$delta,weight$w,tree.no
TRC 8,207.858680854846,-407.717361709692,-407.542689220609,0,0.446598836052841,1
SRC 10,206.535823300369,-407.071646600738,-406.967298774651,0.575390445957794,0.334944722311015,1
delta,549.35404205627,-1090.70808411254,-1090.53417106906,0,1,2
TRC 7,210.228698885911,-412.457397771822,-412.282725282739,0,0.859046700088155,3
EB,208.344478494873,-408.688956989746,-408.515043946268,0.285628731671352,0.307330883332995,4
delta1,207.657615070492,-407.315230140984,-407.141317097506,1.65935558043395,0.154634077984976,4
TRC 4,208.487672583511,-408.975345167023,-408.80067267794,0,0.354510983614819,4
BM,206.732434678658,-407.464869357316,-407.360973253419,1.34060799595147,0.132725744737939,5
EB1,208.348620421259,-408.697240842518,-408.52332779904,0.178253450330999,0.23733252157301,5
delta2,207.752966379675,-407.505932759351,-407.332019715873,1.36956153349837,0.130818146069096,5
TRC 3,208.438126869227,-408.876253738454,-408.701581249371,0,0.259456466028954,5
BM1,205.812240544108,-405.624481088215,-405.520584984319,0.959090133310212,0.141713994112811,6
EB2,207.304424137732,-406.608848275464,-406.434935231985,0.0447398856441055,0.22385220262809,6
delta3,206.796322460575,-405.592644921151,-405.418731877673,1.06094323995683,0.134677677185932,6
TRC 41,207.327173803356,-406.654347606712,-406.479675117629,0,0.228916193016501,6
EB3,209.239941260132,-410.479882520264,-410.305969476785,0,0.506628614523093,7
TRC 42,208.432292329212,-408.864584658425,-408.689912169342,1.61605730744378,0.225822561708172,7
EB4,211.499039148865,-414.99807829773,-414.824165254252,0,0.387634620293086,8
delta4,210.511616286934,-413.023232573867,-412.849319530389,1.97484572386281,0.144407668894769,8
TRC 43,210.672652707357,-413.345305414713,-413.17063292563,1.65353232862151,0.169575292436843,8
delta5,326.077523799598,-644.155047599197,-643.981134555719,0,1,9
SRC 11,207.636325939522,-409.272651879044,-409.168304052957,0,0.400061447409407,10
EB5,204.933322455175,-401.86664491035,-401.692731866872,0,0.748133941219605,11
EB6,208.813754565284,-409.627509130569,-409.45359608709,0.310409302665789,0.415505050261416,12
TRC 44,208.96933893942,-409.938677878839,-409.764005389756,0,0.485267080210577,12
TRC 11,207.784035970882,-407.568071941764,-407.393399452681,1.70359037973742,0.14125740441536,13
SRC 111,207.600668829253,-409.201337658505,-409.096989832418,0,0.331086271093303,13
EB7,208.925540377588,-409.851080755175,-409.677167711697,1.01636227742438,0.142047030738344,14
DensDep,207.291163513501,-410.582327027002,-410.530602889071,0.162927100049842,0.217647285015471,14
TS 11,207.422436639983,-408.844873279967,-408.74052545388,1.95300453524146,0.0889288913013474,14
TRC 71,208.808924466069,-409.617848932139,-409.443176443056,1.2503535460653,0.126363486938944,14
SRC 7,208.398938907604,-410.797877815208,-410.693529989121,0,0.236119809566526,14
EB8,210.515747593135,-413.03149518627,-412.857582142792,1.11785769800855,0.10279514775189,15
