,model,lnL,AIC,AICc,timing,tree.no,delta,w
1,EB,66.09464107,-124.1892821,-123.7637502,NA,1,9.4286467,0.00470846824933478
2,delta,68.78720804,-129.5744161,-129.1488842,NA,1,4.04351270000001,0.0695419134959275
3,TS ,66.80176462,-127.6035292,-127.3482101,3,1,5.8441868,0.0282641040858477
4,TRC ,69.94690361,-131.8938072,-131.4636997,7,1,1.7286972,0.221259759285417
5,SRC ,69.72385803,-133.4477161,-133.1923969,11,1,0,0.525151080030401
6,OUS ,67.23246817,-124.4649363,-123.819775,NAS 41.7802564742501,1,9.3726219,0.00484222847111197
7,OUMA ,70.54846169,-129.0969234,-128.1838799,NAMA 41.1944801567271,1,5.00851700000001,0.0429238447276446
8,OUMV ,68.43641123,-124.8728225,-123.959779,NAMV 43.6837935757768,1,9.23261790000001,0.00519334003743935
9,OUMVA ,68.38570022,-122.7714004,-121.5406312,NAMVA 64.463867250637,1,11.6517657,0.00154929988637391
10,DensDep,66.7656609450003,-129.531321890001,-129.406321890001,NA,1,3.786075009999,0.0790949071448806
11,fit_env,66.3193737346371,-126.638747469274,-126.386115890327,NA,1,6.806281009673,0.017471054585622
12,EB,69.58995437,-131.1799087,-130.7543768,NA1,2,1.64404630000001,0.137278190534499
13,delta,67.60442765,-127.2088553,-126.7833234,NA1,2,5.6150997,0.0188494315099208
14,TS ,62.85570936,-119.7114187,-119.4560996,31,2,12.9423235,0.000483294468636788
15,TRC ,70.41426533,-132.8285307,-132.3984231,6,2,0,0.31232134347536
16,SRC ,68.66303164,-131.3260633,-131.0707441,111,2,1.32767899999999,0.160805105170613
17,OUS ,67.80627117,-125.6125423,-124.9673811,NAS 45.5696749362117,2,7.43104200000001,0.00760276201893745
18,OUMA ,71.51761001,-131.03522,-130.1221765,NAMA 45.4207848495608,2,2.27624660000001,0.100073939204188
19,OUMV ,71.4986557,-130.9973114,-130.0842679,NAMV 55.0209519942234,2,2.31415520000002,0.0981949712531386
20,OUMVA ,73.16806175,-132.3361235,-131.1053543,NAMVA 43.2366000687167,2,1.29306880000001,0.163612070958932
21,DensDep,62.0823817274383,-120.164763454877,-120.039763454877,NA,2,12.358659645123,0.000647072317118203
22,fit_env,61.555169897731,-117.110339795462,-116.857708216515,NA,2,15.540714883485,0.000131819088656275
23,EB,69.45545262,-130.9109052,-130.4853733,NA2,3,3.38784430000001,0.129451426108272
