group,model,lnL,AIC,AICc,timing,tree.no,delta,w
agamidae,EB,66.09464107,-124.1892821,-123.7637502,NA,1,9.4286467,0.004708468
agamidae,delta,68.78720804,-129.5744161,-129.1488842,NA,1,4.0435127,0.069541913
agamidae,TS,66.80176462,-127.6035292,-127.3482101,3,1,5.8441868,0.028264104
agamidae,TRC,69.94690361,-131.8938072,-131.4636997,7,1,1.7286972,0.221259759
agamidae,SRC,69.72385803,-133.4477161,-133.1923969,11,1,0,0.52515108
agamidae,OUS,67.23246817,-124.4649363,-123.819775,NAS 41.7802564742501,1,9.3726219,0.004842228
agamidae,OUMA,70.54846169,-129.0969234,-128.1838799,NAMA 41.1944801567271,1,5.008517,0.042923845
agamidae,OUMV,68.43641123,-124.8728225,-123.959779,NAMV 43.6837935757768,1,9.2326179,0.00519334
agamidae,OUMVA,68.38570022,-122.7714004,-121.5406312,NAMVA 64.463867250637,1,11.6517657,0.0015493
agamidae,DensDep,66.76566095,-129.5313219,-129.4063219,NA,1,3.78607501,0.079094907
agamidae,fit_env,66.31937373,-126.6387475,-126.3861159,NA,1,6.80628101,0.017471055
agamidae,EB,69.58995437,-131.1799087,-130.7543768,NA1,2,1.6440463,0.137278191
agamidae,delta,67.60442765,-127.2088553,-126.7833234,NA1,2,5.6150997,0.018849432
agamidae,TS,62.85570936,-119.7114187,-119.4560996,31,2,12.9423235,0.000483294
agamidae,TRC,70.41426533,-132.8285307,-132.3984231,6,2,0,0.312321343
agamidae,SRC,68.66303164,-131.3260633,-131.0707441,111,2,1.327679,0.160805105
agamidae,OUS,67.80627117,-125.6125423,-124.9673811,NAS 45.5696749362117,2,7.431042,0.007602762
agamidae,OUMA,71.51761001,-131.03522,-130.1221765,NAMA 45.4207848495608,2,2.2762466,0.100073939
agamidae,OUMV,71.4986557,-130.9973114,-130.0842679,NAMV 55.0209519942234,2,2.3141552,0.098194971
agamidae,OUMVA,73.16806175,-132.3361235,-131.1053543,NAMVA 43.2366000687167,2,1.2930688,0.163612071
agamidae,DensDep,62.08238173,-120.1647635,-120.0397635,NA,2,12.35865965,0.000647072
agamidae,fit_env,61.5551699,-117.1103398,-116.8577082,NA,2,15.54071488,0.000131819
agamidae,EB,69.45545262,-130.9109052,-130.4853733,NA2,3,3.3878443,0.129451426
agamidae,delta,67.57683143,-127.1536629,-126.728131,NA2,3,7.1450866,0.019780262
agamidae,TS,56.54135772,-107.0827154,-106.8273963,32,3,27.0458213,9.44E-07
agamidae,TRC,71.15166254,-134.3033251,-133.8732176,71,3,0,0.704316531
agamidae,SRC,64.74019871,-123.4803974,-123.2250783,10,3,10.6481393,0.003432052
agamidae,OUS,59.53948969,-109.0789794,-108.4338181,NAS 45.1434690667692,3,25.4393995,2.11E-06
agamidae,OUMA,71.42776392,-130.8555278,-129.9424844,NAMA 45.0189039023192,3,3.9307332,0.098677926
agamidae,OUMV,65.85108118,-119.7021624,-118.7891189,NAMV 54.5986426472638,3,15.0840987,0.000373506
