,model,lnL,AIC,AICc,timing,tree.no,delta,w
1,EB,61.92547481,-115.8509496,-115.5731718,EB,1,6.00051980000001,0.0314223948906268
2,delta,60.50343979,-113.0068796,-112.7291018,delta,1,8.84458980000001,0.00757979270591651
3,DensDep,59.18317883,-114.3663577,-114.2841659,DensDep,1,7.2895257,0.016494350061893
4,TS,60.52624495,-115.0524899,-114.8858232,TS 8,1,6.6878684,0.0222835012811337
5,TRC,64.1189768,-120.2379536,-119.9582333,TRC 5,1,1.6154583,0.281477242826146
6,SRC,63.87017916,-121.7403583,-121.5736916,SRC 6,1,0,0.631299726269854
7,OUS,59.85082808,-109.7016562,-109.2820757,OUS 17.042300093617,1,12.2916159,0.00135252443994641
8,OUMA,59.85218852,-107.704377,-107.1128278,OUMA 17.3719210244125,1,14.4608638,0.000457192318572987
9,OUMV,60.18573731,-108.3714746,-107.7799253,OUMV 17.0421752942113,1,13.7937663,0.000638200744724891
10,OUMVA,60.19009691,-106.3801938,-105.5858676,OUMVA 17.0422901544636,1,15.987824,0.00021307069898597
11,fit_env,59.3360962673503,-112.672192534701,-112.506675293321,NA,1,9.06701630667901,0.00678200376220001
12,EB,59.64530976,-111.2906195,-111.0128417,EB1,2,6.0745551,0.0257345020896999
13,delta,56.19768401,-104.395368,-104.1175902,delta1,2,12.9698066,0.000818900113033404
14,DensDep,56.33649727,-108.6729945,-108.5908028,DensDep1,2,8.49659399999999,0.00766613927996219
15,TS,56.7266491,-107.4532982,-107.2866315,TS 7,2,9.80076529999999,0.0039937374044555
16,TRC,62.43693596,-116.8738719,-116.5941516,TRC 4,2,0.49324519999999,0.41925844152503
17,SRC,61.62703171,-117.2540634,-117.0873968,SRC 5,2,0,0.536523377560096
18,OUS,57.93441047,-105.8688209,-105.4492405,OUS 14.763470535102,2,11.6381563,0.00159365797220111
19,OUMA,58.71764668,-105.4352934,-104.8437441,OUMA 14.7230514330376,2,12.2436527,0.00117737076282801
20,OUMV,58.11916218,-104.2383244,-103.6467751,OUMV 14.7230516806469,2,13.4406217,0.000647134764597701
21,OUMVA,58.21636301,-102.432726,-101.6383998,OUMVA 14.7230541484351,2,15.448997,0.000237072716394862
22,fit_env,56.1956199956214,-106.391239991243,-106.225722749864,NA,2,10.861674050136,0.00234966581170101
23,EB,60.88701558,-113.7740312,-113.4962534,EB2,3,7.5984595,0.0127742560366836
24,delta,59.60171612,-111.2034322,-110.9256545,delta2,3,10.1690584,0.00353294728853118
25,DensDep,57.92421241,-111.8484248,-111.766233,DensDep2,3,9.3284799,0.00537856547625692
26,TS,59.01991114,-112.0398223,-111.8731556,TS 6,3,9.2215573,0.00567393566929768
27,TRC,64.32847815,-120.6569563,-120.377236,TRC 41,3,0.717476900000008,0.398585965835737
28,SRC,63.6306898,-121.2613796,-121.0947129,SRC 4,3,0,0.570584713681585
29,OUS,59.12714487,-108.2542897,-107.8347093,OUS 11.8333685511171,3,13.2600036,0.000753263520574447
30,OUMA,58.82224443,-105.6444889,-105.0529396,OUMA 12.6624299116752,3,16.0417733,0.000187453399308764
31,OUMV,59.25584055,-106.5116811,-105.9201318,OUMV 12.630255026502,3,15.1745811,0.000289202280991712
32,OUMVA,59.71283842,-105.4256768,-104.6313506,OUMVA 12.0656093612496,3,16.4633623,0.000151826098566625
33,fit_env,58.0195981709588,-110.039196341918,-109.873679100538,NA,3,11.221033799462,0.00208787071246745
34,EB,60.31620398,-112.632408,-112.3546302,EB3,4,5.56575669999999,0.0297937149939347
35,delta,58.85810548,-109.716211,-109.4384332,delta3,4,8.48195369999999,0.00693235072072882
36,DensDep,56.33485736,-108.6697147,-108.5875229,DensDep3,4,9.332864,0.00453009909722919
37,TS,56.89791018,-107.7958204,-107.6291537,TS 71,4,10.2912332,0.00280543670530898
38,TRC,63.0789925,-118.157985,-117.8782647,TRC 42,4,0.0421221999999943,0.471592240527444
39,SRC,62.04352679,-118.0870536,-117.9203869,SRC 51,4,0,0.481629822090909
40,OUS,57.50255469,-105.0051094,-104.585529,OUS 14.0981232665275,4,13.3348579,0.000612471336642717
41,OUMA,57.55580364,-103.1116073,-102.520058,OUMA 14.0981118664928,4,15.4003289,0.000218059212745424
42,OUMV,57.88170883,-103.7634177,-103.1718684,OUMV 14.1864447304772,4,14.7485185,0.000302073946694244
43,OUMVA,57.65674785,-101.3134957,-100.5191695,OUMVA 13.1818476434954,4,17.4012174,8.01838717284171e-05
44,fit_env,56.2736035693249,-106.54720713865,-106.381689897271,NA,4,11.538697002729,0.0015035474966351
