,model,lnL,AIC,AICc,timing,tree.no,delta,w
1,EB,214.3395634,-420.6791267,-420.4617354,NA,1,17.5530099,7.85490137230435e-05
2,delta,219.2664784,-430.5329569,-430.3155656,NA,1,7.6991797,0.0108360943318826
3,ts ,213.9667287,-421.9334574,-421.8030226,NA 11,1,16.2117227,0.00015360224071303
4,trc ,223.1166623,-438.2333245,-438.0147453,NA 10,1,0,0.509012451844735
5,src ,222.0134535,-438.026907,-437.8964722,NA 10,1,0.11827310000001,0.479783964965659
6,ous ,211.7955996,-413.5911991,-413.2633303,4.678198563,1,24.751415,2.14796366030592e-06
7,ouma ,215.3266788,-418.6533576,-418.1918192,18.58485,1,19.8229261,2.52484485074143e-05
8,oumv ,215.7311724,-419.4623449,-419.0008064,27.31757947,1,19.0139389,3.78358970193141e-05
9,oumva ,214.9038046,-415.8076092,-415.1888246,a 34.8134510491957,1,22.8259207,5.62526134633925e-06
10,DensDep,211.28414049612,-418.568280992239,-418.503764863207,NA,1,19.510980436793,2.95102464458634e-05
11,fit_env,211.813950250476,-417.627900500952,-417.498170771222,NA,1,20.516574528778,1.78488752349667e-05
12,fit_bgb,211.772310342498,-417.544620684996,-417.414890955266,NA,1,20.599854344734,1.7120911073636e-05
13,EB,215.833526,-423.667052,-423.4496607,NA1,2,6.82624120000003,0.0188347941841112
14,delta,212.2251933,-416.4503866,-416.2329953,NA1,2,14.0429066,0.000510366192594056
15,ts ,208.7882162,-411.5764324,-411.4459976,NA 111,2,18.8299043,4.66013561554386e-05
16,trc ,219.2472406,-430.4944812,-430.2759019,NA 11,2,0,0.571821290732288
17,src ,217.8657672,-429.7315344,-429.6010997,NA 11,2,0.674802199999988,0.408064566771285
18,ous ,207.6667114,-405.3334229,-405.005554,13.60164871,2,25.2703479,1.86154696330658e-06
19,ouma ,214.3483552,-416.6967105,-416.235172,9.584836824,2,14.0407299,0.000510921952015277
20,oumv ,211.1315799,-410.2631598,-409.8016213,27.91333797,2,20.4742806,2.04798503446853e-05
21,oumva ,212.6217789,-411.2435578,-410.6247733,a 27.9134086953211,2,19.6511286,3.09080754985956e-05
22,DensDep,206.663741310009,-409.327482620019,-409.262966490986,NA,2,21.012935409014,1.56444166264796e-05
