,model,lnL,AIC,AICc,timing,tree.no,delta,w
1,EB,68.16967559,-128.3393512,-128.0268512,EB,1,0,0.359831436067178
2,delta,65.46341136,-122.9268227,-122.6143227,delta,1,5.41252850000001,0.0240316434414552
3,TS,65.73595302,-125.471906,-125.284406,TS 11,1,2.74244520000001,0.0913239512266817
4,TRC,66.05546013,-124.1109203,-123.7959596,TRC 7,1,4.23089160000001,0.043388302999858
5,SRC,66.03130949,-126.062619,-125.875119,SRC 7,1,2.15173220000001,0.122703342016969
6,OUS,63.53210419,-117.0642084,-116.5917674,OUS 41.0277433686665,1,11.4350838,0.00118304756187615
7,OUMA,68.51714551,-125.034291,-124.3676244,OUMA 30.23595393988,1,3.65922680000001,0.0577441640363635
8,OUMV,68.16857197,-124.3371439,-123.6704773,OUMV 26.9212350643492,1,4.35637390000001,0.0407497106336956
9,OUMVA,69.47633792,-124.9526758,-124.0566758,OUMVA 28.8858770843109,1,3.97017540000002,0.0494295285057502
10,DensDep,63.6712060740523,-123.342412148105,-123.250104455797,NA,1,4.77674674420301,0.0330249163193189
11,fit_env,64.5601981373176,-123.120396274635,-122.934349763007,NA,1,5.092501436993,0.0282017764362014
12,fit_bgb,66.220644850217,-126.441289700434,-126.255243188806,NA,1,1.771608011194,0.148388180754652
13,EB,68.63418126,-129.2683625,-128.9558625,EB1,2,2.72167190000002,0.0652299533792841
14,delta,66.41160547,-124.8232109,-124.5107109,delta1,2,7.16682350000001,0.00706634215925242
15,TS,68.10185424,-130.2037085,-130.0162085,TS 111,2,1.66132590000001,0.110840449024853
16,TRC,69.30886166,-130.6177233,-130.3027627,TRC 5,2,1.37477170000003,0.127915369708461
17,SRC,68.93251718,-131.8650344,-131.6775344,SRC 5,2,0,0.254361051703386
18,OUS,65.49204799,-120.984096,-120.511655,OUS 17.0562487063836,2,11.1658794,0.000956776957548945
19,OUMA,71.34562577,-130.6912515,-130.0245849,OUMA 29.5912054040642,2,1.65294950000001,0.11130564447926
20,OUMV,70.36490005,-128.7298001,-128.0631334,OUMV 28.1037262879566,2,3.61440100000002,0.0417439370793404
21,OUMVA,71.7383358,-129.4766716,-128.5806716,OUMVA 28.1037265183271,2,3.09686280000003,0.0540723692750026
22,DensDep,65.9649398847302,-127.92987976946,-127.837572077153,NA,2,3.83996232284701,0.0372918035923916
23,fit_env,66.8158032505953,-127.631606501191,-127.445559989563,NA,2,4.23197441043702,0.0306541335383029
24,fit_bgb,68.4591824852204,-130.918364970441,-130.732318458813,NA,2,0.945215941187001,0.158562169102917
25,EB,68.61330389,-129.2266078,-128.9141078,EB2,3,1.40966999999998,0.163664346416308
26,delta,65.81967005,-123.6393401,-123.3268401,delta2,3,6.99693769999999,0.0100159999798251
