,model,lnL,AIC,AICc,timing,tree.no,delta,w
1,EB,202.0763942,-396.1527885,-395.9788754,EB,1,11.5638138,0.00153143635360983
2,delta,206.1152029,-404.2304059,-404.0564928,delta,1,3.48619639999998,0.086922314956794
3,DensDep,202.058022,-400.116044,-400.0643199,DensDep,1,7.4783693,0.0118097839736136
4,TS,202.9942883,-399.9885766,-399.8842287,TS 3,1,7.65846049999999,0.0107928377001815
5,TRC,207.8586809,-407.7173617,-407.5426892,TRC 8,1,0,0.496762968717569
6,SRC,206.5358233,-407.0716466,-406.9672988,SRC 10,1,0.575390400000003,0.37256733561041
7,OUS,202.8170141,-395.6340283,-395.3720196,OUS 37.1112186145891,1,12.1706696,0.00113063360528205
8,OUMA,202.8195552,-393.6391104,-393.2706894,OUMA 41.1709389065714,1,14.2719998,0.000395388318660102
9,OUMV,202.5182699,-393.0365398,-392.6681187,OUMV 39.8248364945698,1,14.8745705,0.000292534619579443
10,OUMVA,207.355304,-400.710608,-400.2172159,OUMVA 35.6617098605784,1,7.3254733,0.0127480247524019
11,fit_env,202.233922429806,-398.467844859612,-398.363948755716,NA,1,9.17874044428396,0.00504674139189836
12,EB,212.2960448,-416.5920895,-416.4181765,EB1,2,674.1159945,4.14545030218095e-147
13,delta,549.3540421,-1090.708084,-1090.534171,delta1,2,0,1
14,DensDep,210.3867036,-416.7734071,-416.721683,DensDep1,2,673.812488,4.82477774310448e-147
15,TS,211.337236,-416.6744719,-416.5701241,TS 11,2,673.9640469,4.47266854363096e-147
16,TRC,213.371766,-418.743532,-418.5688595,TRC 10,2,671.9653115,1.21502885700348e-146
17,SRC,213.3509339,-420.7018678,-420.59752,SRC 101,2,669.936651,3.35046143160996e-146
18,OUS,210.5408959,-411.0817917,-410.819783,OUS 57.0037530450663,2,679.714388,2.52287661181632e-148
19,OUMA,209.9154197,-407.8308393,-407.4624183,OUMA 50.5672229125103,2,683.0717527,4.7081851067322e-149
20,OUMV,211.3495815,-410.6991631,-410.330742,OUMV 50.3356544503791,2,680.203429,1.97561405335101e-148
21,OUMVA,212.9078078,-411.8156157,-411.3222236,OUMVA 47.766243709939,2,679.2119474,3.24339319151238e-148
22,fit_env,209.938469461317,-413.876938922634,-413.773042818738,NA,2,676.761128181262,1.10455725392144e-147
23,EB,200.5989234,-393.1978467,-393.0239337,EB2,3,19.2587916,5.94151208793431e-05
24,delta,207.6928244,-407.3856487,-407.2117357,delta2,3,5.07098959999996,0.0715713228762713
25,DensDep,200.6163711,-397.2327422,-397.181018,DensDep2,3,15.1017073,0.00047489365949897
26,TS,201.9906973,-397.9813946,-397.8770468,TS 31,3,14.4056785,0.000672569400709145
27,TRC,210.2286989,-412.4573978,-412.2827253,TRC 7,3,0,0.903421548180246
28,SRC,205.512852,-405.025704,-404.9213562,SRC 8,3,7.36136909999999,0.0227713854867651
29,OUS,201.2346957,-392.4693914,-392.2073827,OUS 45.8379784118805,3,20.0753426,3.94989170166784e-05
30,OUMA,202.9619423,-393.9238846,-393.5554635,OUMA 54.3958914639142,3,18.7272618,7.75027681845652e-05
31,OUMV,205.0674557,-398.1349114,-397.7664904,OUMV 49.70642342769,3,14.5162349,0.000636399877663768
32,OUMVA,201.7778274,-389.5556547,-389.0622627,OUMVA 54.395882609923,3,23.2204626,8.19654934592747e-06
33,fit_env,201.067614917894,-396.135229835789,-396.031333731893,NA,3,16.251391568107,0.000267267163419154
34,EB,208.3444785,-408.688957,-408.5150439,EB3,4,0.285628799999984,0.376347760547236
35,delta,207.6576151,-407.3152301,-407.1413171,delta3,4,1.65935560000003,0.18936004654558
36,DensDep,192.9343652,-381.8687303,-381.8170062,DensDep3,4,26.9836665,6.00045399972666e-07
37,TS,195.803531,-385.607062,-385.5027142,TS 32,4,23.2979585,3.78900722925255e-06
38,TRC,208.4876726,-408.9753452,-408.8006727,TRC 4,4,0,0.434123046418532
39,SRC,198.616304,-391.2326081,-391.1282603,SRC 11,4,17.6724124,6.31098645911032e-05
40,OUS,195.2146053,-380.4292106,-380.1672018,OUS 58.5943559407383,4,28.6334709,2.62986610168452e-07
41,OUMA,198.263924,-384.527848,-384.159427,OUMA 50.5789312585838,4,24.6412457,1.93568339529436e-06
42,OUMV,202.189889,-392.379778,-392.0113569,OUMV 51.0845351115949,4,16.7893158,9.81429795099526e-05
43,OUMVA,196.4585447,-378.9170894,-378.4236973,OUMVA 59.0349699807837,4,30.3769754,1.0998575627233e-07
